char,pinyin,division,code
枊,ang4,木{卬左}卩,IVAe
枋,fang1,木方,IYu
枌,fen2,木八刀,ITDd
枍,yi4,木八丂,ITEk
枎,fu1,木夫,IJf
枎,fu2,木夫,IJf
枏,nan2,木冂二,IMEe
析,xi1,木𠂆丅,IRJu
枑,hu4,木二{互中},IECu
枒,ya2,木牙,IFy
枓,dou3,木⺀十,IZEu
枔,xin2,木𠆢丶乛,IUWB
枕,zhen3,木冖儿,IQVe
枖,yao1,木夭,IRy
枖,yao3,木夭,IRy
林,lin2,木木,IIv
枘,rui4,木冂人,IMUu
枙,e4,木厂㔾,IGBu
枚,mei2,木攵,IPp
枛,zhao4,木爪,IRz
果,guo3,日木,KIv
枝,zhi1,木十又,IEDo
枞,cong1,木人人,IUUu
枞,zong1,木人人,IUUu
枟,yun4,木二厶,IEAi
枠,hua4,木九十,IREu
枡,dou3,木㇒廾,IPHv
枢,shu1,木匚㐅,IFTi
枣,zao3,木冂⺀,IMZu
枤,di4,木犬,IJq
枤,duo4,木犬,IJq
枥,li4,木厂力,IGCl
枦,lu2,木户,IZh
枧,jian3,木冂儿,IMVe
枨,cheng2,木长,IPc
枩,song1,木八厶,ITAi
枪,qiang1,木𠆢㔾,IUBu
枫,feng1,木𠘨㐅,IQTi
枬,nan2,木⺆亠,ISYu
枭,xiao1,{鸟上}木,SIvn
枮,xian1,木⺊口,ILOv
枮,zhen1,木⺊口,ILOv
枯,ku1,木古,IJg
枰,ping2,木干丷,IEXu
枱,ci2,木厶口,IAOv
枱,si4,木厶口,IAOv
枱,tai2,木厶口,IAOv
枲,xi3,厶口木,AOIi
枳,zhi3,木口八,IOTu
枴,guai3,木口刀,IODd
枵,xiao1,木口丂,IOEk
架,jia4,力口木,COIl
枷,jia1,木力口,ICOv
枸,gou1,木勹口,ISOv
枸,gou3,木勹口,ISOv
枸,ju3,木勹口,ISOv
枹,fu1,木勹巳,ISDs
枺,mo4,木末,IIm
枻,yi4,木世,IHs
枼,ye4,世木,HIvs
枽,ye4,十卄一木,EHGI
枾,shi4,木キ{介下},IFTu
枿,nie4,木十廾,IEHv
柀,bi3,木皮,IDp
柁,tuo2,木宀匕,IWVi
柂,yi2,木𠂉也,IPBe
柃,ling2,木𠆢丶龴,IUWD
柄,bing3,木一冂人,IGMU
柅,ni3,木尸匕,IDVi
柆,la1,木立,IYl
柇,he2,木禾,IRv
柈,pan2,木丷キ,IXFu
柉,fan2,木㇒之,IPZz
柊,zhong1,木夂⺀,IVZu
柋,dai4,亻弋木,TFIv
柌,ci2,木𠃌一口,IBGO
柍,yang3,木冂大,IMFd
柍,yang4,木冂大,IMFd
柍,ying1,木冂大,IMFd
柎,fu1,木亻寸,ITIc
柏,bai3,木白,IUb
柏,bo2,木白,IUb
柏,bo4,木白,IUb
某,mou3,卄二木,HEIv
柑,gan1,木卄二,IHEe
柒,qi1,氵七木,ZFIv
染,ran3,氵九木,ZRIv
柔,rou2,矛木,BIvm
柕,mao4,木矛,IBm
柖,shao2,木刀口,IDOv
柖,shao4,木刀口,IDOv
柗,song1,木八口,ITOv
柘,zhe4,木石,IGv
柙,xia2,木甲,IKj
柚,you4,木由,IKy
柛,shen1,木申,IKs
柜,ju3,木匚コ,IFDu
柝,tuo4,木𠂆丅丶,IRJW
柞,zuo4,木𠂉{乍下},IPLu
柟,nan2,木冂土,IMJv
柠,chu3,木宀丁,IWEd
柠,ning2,木宀丁,IWEd
柠,zhu4,木宀丁,IWEd
柡,yong3,木二水,IEAs
柢,di3,木{卬左}七丶,IVFW
柣,zhi2,木㇒夫,IPJf
柤,zha1,木且,INq
查,cha2,木日一,IKGu
查,zha1,木日一,IKGu
柦,dan4,木日一,IKGu
柧,gu1,木瓜,IRg
柨,bu4,木𠂇巾,IHMj
柨,pu1,木𠂇巾,IHMj
柩,jiu4,木匚⺈丶,IFQW
柪,ao1,木幺力,IACl
柪,ao4,木幺力,IACl
柫,fu2,木弓{介下},IDTu
柬,jian3,木囗丷,INXu
柭,ba1,木𠂇又丶,IHDW
柭,bie1,木𠂇又丶,IHDW
柭,bo2,木𠂇又丶,IHDW
柭,fu2,木𠂇又丶,IHDW
柭,pei4,木𠂇又丶,IHDW
柮,duo4,木屮凵,IAAu
柯,ke1,木丁口,IEOv
柰,nai4,木示,IFs
柱,zhu4,木丶王,IWEv
柲,bi4,木心㇒,IRPu
柳,liu3,木{卬左}丿卩,IVPA
柴,chai2,止匕木,LVIz
柵,zha4,木冊,Imu
柶,si4,木囗儿,INVe
柷,zhu4,木口儿,IOVe
柸,pei1,木不一,IGGu
柹,fei4,木㇒㇉丨㇒,IPKP
柹,shi4,木㇒㇉丨㇒,IPKP
柺,guai3,木口力,IOCl
査,cha2,木且,INq
柼,yao3,木穴,IWx
柽,cheng1,木又土,IDJv
柽,jue2,木又土,IDJv
柾,jiu4,木一止,IGLz
柿,shi4,木亠巾,IYMj
栀,zhi1,木𠂆一㔾,IRGB
栁,liu3,木夕卩,IQAe
栂,mei2,木母,ICm
栃,li4,木𠂆丆𠃌,IRGB
栄,rong2,⺍冖木,ZQIv
栅,ce4,木⺆⺆一,ISSG
栅,shan1,木⺆⺆一,ISSG
栅,zha4,木⺆⺆一,ISSG
栆,zao3,大口⺀,FOZd
标,biao1,木示,IFs
栈,zhan4,木一戈,IGFg
栉,zhi4,木艹𰆊,IHAe
栊,long2,木尤⼃,IJPu
栋,dong4,木七小,IFCx
栌,lu2,木⺊尸,ILDv
栍,sheng1,木生,IPs
栎,li4,木{乐上}小,IVCx
栏,lan2,木䒑二,IXEe
栐,yong3,木丶水,IWAs
树,shu4,木又寸,IDIc
栒,xun2,木勹日,ISKv
栓,shuan1,木𠆢王,IUEv
栔,qi4,丰刀木,IDIf
栕,zhen1,木臣,IFe
栖,qi1,木西,IEx
栗,li4,覀木,EIvx
栘,yi2,木夕夕,IQQx
栙,xiang2,木夂㐄,IVFu
栚,zhen4,木䒑大,IXFd
栛,li4,木力力力,ICCC
栜,ci4,木木冂,IIMu
栜,se4,木木冂,IIMu
栝,gua1,木千口,IROv
栞,kan1,干干木,EEIg
栟,bing1,木䒑廾,IXHv
栠,ren3,亻壬木,TRIv
校,jiao4,木亠八乂,IYTT
校,xiao4,木亠八乂,IYTT
栢,bai3,木丆日,IGKv
栣,ren3,木亻壬,ITRr
栤,bing4,木冫水,IXAs
栥,zi1,冫欠木,XQIs
栦,chou2,木{三点}川,IZTc
栧,yi4,木电⼃,IKPu
栨,ci4,木冫欠,IXQq
栩,xu3,木羽,ICy
株,zhu1,木㇒未,IPIw
栫,jian4,木𠂇⼁子,IHKB
栬,zui4,木⺈巴,IQDb
栭,er2,木而,IGe
栮,er3,木耳,IHe
栯,you3,木𠂇⺝,IHSv
栯,yu4,木𠂇⺝,IHSv
栰,fa2,木亻戈,ITFg
栱,gong3,木龷八,IHTu
栲,kao3,木耂丂,IJEk
栳,lao3,木耂匕,IJVi
栴,zhan1,木𠂉⺆亠,IPSY
栵,li4,木歹刂,IGLd
栶,yin1,木囗大,INFd
样,yang2,木羊,IXy
样,yang4,木羊,IXy
核,he2,木亥,IYh
根,gen1,木艮,IBg
栺,yi4,木匕日,IVKv
栺,zhi1,木匕日,IVKv
栺,zhi3,木匕日,IVKv
栻,shi4,木弋工,IFIg
格,ge2,木夂口,IVOv
栽,zai1,十戈木,EFIv
栾,luan2,𰁜木,YIvi
栿,fu2,木亻犬,ITJq
桀,jie2,夕㐄木,QFIx
桁,hang2,木行,ISx
桁,heng2,木行,ISx
桂,gui4,木土土,IJJv
桃,tao2,木儿冫{飞右},IVXT
桄,guang1,木⺌兀,INGw
桄,guang4,木⺌兀,INGw
桅,wei2,木⺈厂㔾,IQGB
框,kuang1,木匚王,IFEv
框,kuang4,木匚王,IFEv
桇,ru2,女口木,COIv
案,an4,宀女木,WCIv
桉,an1,木宀女,IWCv
桊,juan4,丷夫木,XJIv
桊,quan1,丷夫木,XJIv
桋,yi2,木大弓,IFDg
桌,zhuo1,⺊日木,LKIv
桍,ku1,木大一丂,IFGE
桎,zhi4,木至,IFz
桏,qiong2,木工阝,IIBv
桐,tong2,木冂一口,IMGO
桑,sang1,又又又木,DDIo
桒,sang1,十廾木,EHIv
桓,huan2,木二日,IEKv
桔,jie2,木士口,IJOv
桔,ju2,木士口,IJOv
桕,jiu4,木臼,IUj
桖,xue4,木㇒皿,IPMm
桗,duo4,木乃木,IAIv
桘,zhui4,木𠂤,IUd
桙,mou2,木厶牛,IAPn
桙,yu2,木厶牛,IAPn
桚,zan3,木巛夕,ICQx
桛,,木上丅丶,ILJW
桜,ying1,木⺍女,IZCv
桝,jie2,木夕㐄,IQFu
桞,liu3,木夕阝,IQBv
桟,zhan4,木二戈,IEFg
桠,ya1,木丌䒑,IHXu
桡,rao2,木七㇒兀,IFPG
桢,zhen1,木⺊贝,ILMb
档,dang4,木⺌彐,INBu
桤,qi1,木山己,IMDj
桥,qiao2,木夭{介下},IRTu
桦,hua4,木亻𠤎十,ITVE
桧,gui4,木人二厶,IUEA
桧,hui4,木人二厶,IUEA
桨,jiang3,丬夕木,XQIv
桩,zhuang1,木广土,IWJv
桪,xun2,木彐寸,IBIc
桫,suo1,木氵𡭔㇒,IZCP
桬,sha1,氵𡭔㇒木,ZCPI
桭,zhen1,木辰,IGn
桮,bei1,木不口,IGOv
桯,ting1,木口王,IOEv
桰,kuo4,木{卬左}七口,IVFO
桱,jing4,木一巛工,IGCI
桲,bo2,木十冖子,IEQB
桳,ben4,木厶大十,IAFE
桴,fu2,木爫子,IVBz
桵,rui2,木爫女,IVCv
桶,tong3,木龴用,IDSy
桷,jue2,木⺈用,IQSy
桸,xi1,木㐅𠂇巾,ITHM
桹,lang2,木丶艮,IWBg
桺,liu3,木丌匚コ,IHFD
桻,feng1,木夂丰,IVIf
桻,feng4,木夂丰,IVIf
桼,qi1,木𠆢氺,IUAs
桽,wen3,木人人土,IUUJ
桾,jun1,木⺕丿口,IBPO
桿,gan3,木日干,IKEg
梀,su4,木木口,IIOv
梀,yin4,木木口,IIOv
梁,liang2,氵刀八木,ZDTI
梂,qiu2,木一氺丶,IGAW
梃,ting3,木𡈼廴,IRBd
梄,you3,木酉,IEy
梅,mei2,木𠂉母,IPCm
梆,bang1,木丰阝,IIBv
梇,long4,木王廾,IEHv
梈,peng1,木亠口了,IYOB
梉,zhuang1,木爿士,IAJu
梊,di4,扌𠂆丅木,FRJI
梋,juan1,木口⺝,IOSv
梋,xie2,木口⺝,IOSv
梋,xuan1,木口⺝,IOSv
梌,cha2,木𠆢一朩,IUGI
梌,tu1,木𠆢一朩,IUGI
梌,tu2,木𠆢一朩,IUGI
梍,zao4,木白七,IUFq
梎,ao1,木白匕,IUVi
梎,you4,木白匕,IUVi
梏,gu4,木𠂒口,IPOv
梐,bi4,木比土,IVJv
梑,di2,木犭火,IVXv
梒,han2,木𠆢丶乛口,IUBO
梓,zi3,木辛,IYx
梔,zhi1,木𠂆一巴,IRGD
梕,ren4,木刀丶心,IDWR
梖,bei4,木貝,INb
梗,geng3,木一日乂,IGKT
梘,jian3,木見,INj
梙,huan4,木口口丨,IOOK
梚,wan3,木⺈口儿,IQOV
梛,nuo2,木刀二阝,IDEB
梜,jia2,木大人人,IFUU
條,tiao2,亻丨夂朩,TKVI
梞,ji4,木己心,IDRx
梟,xiao1,{鳥上}木,UIvn
梠,lv3,木口口,IOOv
梡,kuan3,木宀一兀,IWGG
梢,shao1,木⺌⺝,INSv
梣,cen2,木山𠆢丶乛,IMWB
梤,fen2,木山八刀,IMTD
梥,song1,穴厶木,WAIx
梦,meng4,木木夕,IIQx
梧,wu2,木一{五下}口,IGDO
梨,li2,禾刂木,RLIv
梩,li2,木甲二,IKEe
梪,dou4,木一口䒑,IGOX
梫,qin1,木⺕冖又,IBQD
梫,qin3,木⺕冖又,IBQD
梬,ying3,木由丂,IKEk
梭,suo1,木厶八夊,IATV
梮,ju1,木尸𠃌口,IDBO
梯,ti1,木丷弓丨㇒,IXKP
械,xie4,木戈廾,IFHv
梱,kun3,木囗木,INIv
梲,zhuo2,木八口儿,ITOV
梳,shu1,木亠厶𫶧,IYAV
梴,chan1,木㇒止廴,IPLB
梵,fan4,木木凡,IIQa
梶,wei3,木尸毛,IDRm
梷,jing4,⺊口又木,LODI
梸,li2,木禾刂,IRLd
梹,bin1,木亻工八,ITIT
梹,bing1,木亻工八,ITIT
梺,xia4,木木丅丶,IIJW
梻,fo2,木亻弓{介下},ITDT
梼,tao2,木丰寸,IIIc
梽,zhi4,木士心,IJRx
梾,lai2,木一米,IGXm
梿,lian2,木车辶,IFZd
检,jian3,木人二⺍,IUEZ
棁,zhou4,木丷口儿,IXOV
棂,ling2,木彐火,IBXv
棃,li2,禾⼓⼃木,RSPI
棄,qi4,亠厶卅木,YAHI
棅,bing4,木禾⺕,IRBu
棆,lun2,木人一𠕁,IUGM
棇,cong1,木八厶心,ITAR
棇,song1,木八厶心,ITAR
棈,qian4,木龶⺝,IESv
棉,mian2,木白巾,IUMj
棊,qi2,其木,HIvq
棋,qi2,木其,IHq
棌,cai4,木爫木,IVIv
棍,gun4,木日比,IKVb
棎,chan2,木冖八木,IQTI
棏,de2,木日一寸,IKGI
棏,zhe2,木日一寸,IKGI
棐,fei3,非木,LIvf
棑,pai2,木非,ILf
棒,bang4,木一夫キ,IGJF
棓,bang4,木立口,IYOv
棓,bei1,木立口,IYOv
棓,bei4,木立口,IYOv
棓,pei2,木立口,IYOv
棓,pou3,木立口,IYOv
棔,hun1,木{卬左}七日,IVFK
棕,zong1,木宀示,IWFs
棖,cheng2,木長,IEz
棗,zao3,木冂木冂,IMIM
棘,ji2,木冂木冂,IMIM
棙,li4,木户犬,IZJq
棙,lie4,木户犬,IZJq
棚,peng2,木月月,ISSv
棛,yu4,木亠厶⺝,IYAS
棜,yu4,木方𠆢⺀,IYUZ
棝,gu4,木囗古,INJg
棞,jun4,木囗禾,INRv
棟,dong4,木木日,IIKv
棠,tang2,⺌冖口木,NQOI
棡,gang1,木冂䒑山,IMXM
棢,wang3,木冂䒑亠𠃊,IMYC
棣,di4,木⺕氺,IBAs
棤,cuo4,木龷日,IHKv
棥,fan2,木㐅乂木,ITTI
棦,cheng1,木⺈⺕亅,IQBB
棧,zhan4,木戈戈,IFFg
棨,qi3,户攵木,ZPIh
棩,yuan1,木片爿一,ITAG
棪,yan3,木火火,IXXv
棫,yu4,木戈口一,IFOG
棬,quan1,木丷夫㔾,IXJB
棭,yi4,木亠亻夂丶,IYVW
森,sen1,木木木,IIIv
棯,ren3,木𠆢丶乛心,IUBR
棰,chui2,木壬龷,IRHu
棱,cheng1,木土八夊,IJTV
棱,leng1,木土八夊,IJTV
棱,leng2,木土八夊,IJTV
棱,leng4,木土八夊,IJTV
棱,ling2,木土八夊,IJTV
棲,qi1,木十彐女,IEBC
棳,zhuo2,木又又又又,IDDD
棴,fu2,木月卩又,ISAD
棴,su4,木月卩又,ISAD
棵,ke1,木日木,IKIv
棶,lai2,木來,IIl
棷,sou3,木耳又,IHDo
棷,zou1,木耳又,IHDo
棸,zou1,耳又木,HDIe
棹,zhuo1,木⺊早,ILKz
棺,guan1,木宀尸コ,IWDD
棻,fen1,艹八刀木,HTDI
棼,fen2,木木八刀,IITD
棽,chen1,木木𠆢丶乛,IIWB
棽,shen1,木木𠆢丶乛,IIWB
棾,qing2,木木冖几,IIQQ
棿,ni2,木臼儿,IUVe
棿,nie4,木臼儿,IUVe
椀,wan3,木宀夕㔾,IWQB
椁,guo3,木亠口子,IYOB
椂,lu4,木⼹氺,IBAs
椃,hao2,木虍几,ILQj
椄,jie1,木立女,IYCv
椅,yi3,木大丁口,IFEO
椆,chou2,木⺆土口,ISJO
椇,ju3,木{具上}八,INTu
椈,ju2,木勹米,ISXm
椉,cheng2,亠夕㐄木,YQFI
椊,zuo2,木亠人人十,IYUE
椋,liang2,木亠口小,IYOC
椌,qiang1,木穴工,IWIg
植,zhi2,木十{具上},IENq
椎,chui2,木隹,ITw
椎,zhui1,木隹,ITw
椏,ya1,木一{亞下},IGNu
椐,ju1,木尸古,IDJg
椑,bei1,木白千,IURq
椒,jiao1,木上小又,ILCD
椓,zhuo2,木豕丶,IGWu
椔,zi1,木巛田,ICKt
椕,bin1,木八刀木,ITDI
椖,peng2,木户方,IZYu
椗,ding4,木宀一龰,IWGL
椘,chu3,木木之,IIZz
椙,chang1,木日曰,IKKu
椚,men1,木門,INm
椛,hua1,木艹亻𠤎,IHTV
検,jian3,木𠆢一口人,IUOU
椝,gui1,夫冂儿木,JMIf
椞,xi4,木𠂆丅木,IRJI
椟,du2,木十乛⺀大,IEZF
椠,qian4,车𠂆丅木,FRIc
椡,dao4,木至刂,IFLd
椢,gui4,木囗王丶,INEW
椣,dian3,木冂龷八,IMHT
椤,luo3,木罒夕,IMQx
椥,zhi1,木矢口,IPOv
椦,juan4,木丷夫力,IXJC
椦,quan1,木丷夫力,IXJC
椦,quan2,木丷夫力,IXJC
椧,ming4,木人一口卩,IUOA
椨,fu3,木广亻寸,IWTI
椩,geng1,木广⺕人,IWBU
椪,peng4,木䒑〢䒑,IXLX
椫,zhan3,木丷日十,IXKE
椬,yi2,木宀且,IWNq
椭,tuo3,木阝𠂇⺝,IBHS
椮,sen1,木厶大彡,IAFS
椯,chuan2,木山而,IMGe
椯,duo3,木山而,IMGe
椰,ye1,木耳阝,IHBv
椰,ye2,木耳阝,IHBv
椱,fu4,木𠂉日夊,IPKV
椲,hui1,木韋,IDw
椲,wei3,木韋,IDw
椳,wei1,木田{畏下},IKFu
椴,duan4,木亻三殳,ITIQ
椵,jia3,木尸二コ又,IDDD
椶,zong1,木㐅凵八夊,ITTV
椷,jian1,木戊一口,IFGO
椸,yi2,木方𠂉也,IYPB
椹,shen4,木其𠃊,IHCu
椺,xi2,木亻口木,ITOI
椻,ya4,木匚日女,IFKC
椻,yan4,木匚日女,IFKC
椼,yan3,木行氵,ISZv
椽,chuan2,木{互中}豕,ICGs
椾,jian1,木䒑⺝刂,IXSL
椾,zhan4,木䒑⺝刂,IXSL
椿,chun1,木一夫日,IGJK
楀,yu3,木㇒虫冂,IPLM
楁,he2,木宀夂口,IWVO
楂,cha2,木木日一,IIKG
楂,zha1,木木日一,IIKG
楃,wo4,木尸至,IDFz
楄,pian2,木户𠕁,IZMu
楅,bi4,木一口田,IGOK
楆,yao1,木覀女,IECv
楇,guo1,木冎口,INOv
楇,huo4,木冎口,INOv
楇,kua3,木冎口,INOv
楈,xu1,木乛龰⺝,IBLS
楉,ruo4,木艹𠂇口,IHHO
楊,yang2,木日一⼓{两撇},IKSS
楋,la4,木木口刂,IIOL
楌,yan2,木立⼃彡,IYPS
楍,ben3,木口口口,IOOO
楎,hun2,木冖車,IQJc
楏,kui2,木大土土,IFJJ
楐,jie4,木田人{介下},IKUT
楑,kui2,木癶一大,IDGF
楒,si1,木田心,IKRx
楓,feng1,木風,IQf
楔,xie1,木丰刀大,IIDF
楕,tuo3,木𠂇工⺝,IHIS
楖,ji2,木⺕厶卩,IBAA
楖,zhi4,木⺕厶卩,IBAA
楗,jian4,木⺕キ廴,IBFB
楘,mu4,矛攵木,BPIm
楙,mao4,木矛木,IBIv
楚,chu3,木木乛龰,IIBL
楛,hu4,木艹古,IHJg
楛,ku3,木艹古,IHJg
楜,hu2,木古月,IJSv
楝,lian4,木木囗丷,IINX
楞,leng2,木罒方,IMYu
楞,leng4,木罒方,IMYu
楟,ting2,木亠口冖丁,IYQE
楠,nan2,木十冂䒑十,IEXE
楡,yu2,木入一⺝巜,IVSC
楢,you2,木丷酉,IXEy
楣,mei2,木𠃜目,IDNv
楤,cong1,木⼓{两撇}丶心,ISWR
楤,song3,木⼓{两撇}丶心,ISWR
楥,xuan4,木爫干又,IVED
楦,xuan4,木宀二日,IWEK
楧,yang3,木艹冂大,IHMF
楨,zhen1,木⺊貝,ILNb
楩,pian2,木亻一日乂,ITKT
楪,die2,木世木,IHIv
楫,ji2,木口耳,IOHe
楬,jie2,木日勹人𠃊,IKUC
業,ye4,〢䒑䒑未,LXXI
楮,chu3,木耂日,IJKv
楯,shun3,木𠂆十目,IREN
楰,yu2,木臼人,IUUu
楱,cou1,木一夫一大,IGGF
楱,zou4,木一夫一大,IGGF
楲,wei1,木戊一女,IFGC
楳,mei2,木卄二木,IHEI
楴,di3,木亠丷冖巾,IYQM
楴,shi4,木亠丷冖巾,IYQM
楴,ti4,木亠丷冖巾,IYQM
極,ji2,木了口又一,IBDG
楶,jie2,冫欠口木,XQIs
楷,jie1,木比白,IVUb
楷,kai3,木比白,IVUb
楸,qiu1,木禾火,IRXv
楹,ying2,木乃又皿,IADM
楺,rou3,木矛木,IBIv
楺,rou4,木矛木,IBIv
楻,huang2,木白王,IUEv
楼,lou2,木米女,IXCv
楽,le4,白冫{飞右}木,UXIb
楽,yue4,白冫{飞右}木,UXIb
楾,quan2,木白水,IUAs
楿,xiang1,木禾日,IRKv
榀,pin3,木口口口,IOOO
榁,shi3,木宀至,IWFz
概,gai4,木⺕厶匚儿,IBFV
榃,tan2,木木田,IIKt
榄,lan3,木〢{⺮右}冂儿,ILMV
榅,wen1,木日皿,IKMm
榅,yun4,木日皿,IKMm
榆,yu2,木人一⺝刂,IUSL
榇,chen4,木立朩,IYIu
榈,lv2,木门口口,IZOO
榉,ju3,木⺍一八キ,IZTF
榊,shen2,木礻申,IWKs
榋,chu1,木彐彐彐,IBBB
榌,bi1,木飛,IBf
榌,pi5,木飛,IBf
榍,xie4,木尸⺌⺝,IDNS
榎,jia3,木丆目夊,IGNV
榏,yi4,木䒑八皿,IXTM
榐,chan3,木尸艹{畏下},IDHF
榐,nian4,木尸艹{畏下},IDHF
榐,zhan3,木尸艹{畏下},IDHF
榐,zhen4,木尸艹{畏下},IDHF
榑,bo2,木甫寸,IEIc
榑,fu2,木甫寸,IEIc
榑,fu4,木甫寸,IEIc
榒,nuo4,木弓冫弓冫,IDDX
榓,mi4,木心㇒皿,IRPM
榔,lang2,木⼂彐厶阝,IWAB
榕,rong2,木穴𠆢口,IWUO
榖,gu3,士冖一木殳,JQIQ
榗,jian4,木丌䒑日,IHXK
榗,jin4,木丌䒑日,IHXK
榘,ju3,矢匚コ木,PFIi
榙,ta1,木艹人一口,IHGO
榚,yao3,木䒑土灬,IXJX
榛,zhen1,木一夫禾,IGJR
榜,bang3,木亠丷冖方,IYQY
榜,bang4,木亠丷冖方,IYQY
榜,peng4,木亠丷冖方,IYQY
榝,sha1,木㐅朩殳,ITIQ
榝,xie4,木㐅朩殳,ITIQ
榞,yuan2,木厂白小,IGUC
榟,zi3,木宀辛,IWYx
榠,ming2,木冖日亠八,IQYT
榡,su4,木龶糸,IEAv
榢,jia4,木宀豕,IWGs
榣,yao2,木爫缶,IVPf
榤,jie2,木夕㐄木,IQFI
榥,huang3,木日⺌兀,IKNG
榦,gan4,十早𠆢木,EKUI
榧,fei3,木匚非,IFLf
榨,zha4,木穴𠂉{乍下},IWPL
榩,qian2,木虍文,ILYw
榪,ma4,木馬,IEm
榫,sun3,木隹十,ITEu
榬,yuan2,木土口𧘇,IJOR
榭,xie4,木身寸,ITIc
榮,rong2,火火冖木,XXQI
榯,shi2,木日土寸,IKJI
榰,zhi1,木耂匕日,IJVK
榱,cui1,木衣口一,IWOG
榲,yun2,木囗人皿,INUM
榳,ting2,木广𡈼廴,IWRB
榴,liu2,木{卬左}⼂刀田,IVDK
榵,rong2,木艹耳,IHHe
榶,tang2,木广コ古,IWDJ
榷,que4,木冖隹,IQTw
榸,zhai1,木土甲二,IJKE
榹,si1,木𠂆虍几,IRLQ
榺,sheng4,月丷夫木,SXJI
榻,ta4,木日羽,IKCy
榼,ke4,木土厶皿,IJAM
榽,xi1,木爫幺大,IVAF
榾,gu3,木骨,INg
榿,qi1,木山一口䒑,IMOX
槀,gao3,亠口冂口木,YOOI
槀,kao4,亠口冂口木,YOOI
槁,gao3,木亠口冂口,IYMO
槂,sun1,木子㇒糸,IBPA
槃,pan2,舟殳木,RQIo
槄,tao1,木爫臼,IVUj
槅,ge2,木一口冂䒑⼁,IGXK
槆,xun2,木艹勹日,IHSK
槇,dian1,木匕目𠃊八,IVCT
槇,zhen1,木匕目𠃊八,IVCT
槇,zhen3,木匕目𠃊八,IVCT
槈,nou4,木辰寸,IGIc
槉,ji2,木疒矢,IWPi
槊,shuo4,䒑䶹月木,XASI
構,gou4,木一龷冂土,IGMJ
槌,chui2,木𠂤辶,IUZd
槍,qiang1,木𠆢丶⺕丿口,IUPO
槎,cha2,木⺶工,IXIg
槏,lian2,木䒑⺕〢八,IXLT
槏,qian3,木䒑⺕〢八,IXLT
槏,xian4,木䒑⺕〢八,IXLT
槐,huai2,木鬼,IUg
槑,mei2,口木口木,OIOI
槒,xu4,木亠幺田,IYAK
槓,gang1,木工貝,IINb
槓,gang4,木工貝,IINb
槔,gao1,木白大十,IUFE
槕,zhuo2,木⺊日木,ILKI
槖,tuo2,士冖石木,JQGI
槗,,木𠂇口冂口,IHMO
様,yang4,木䒑土氺,IXJA
槙,dian1,木十{具上}八,IENT
槚,jia3,木覀贝,IEMb
槛,kan3,木〢{⺮右}皿,ILPM
槜,zui4,木隹乃,ITAn
槝,dao3,木{鳥上}山,IUMv
槞,long2,木立电,IYKd
槟,bin1,木宀亻工八,IWIT
槠,zhu1,木讠耂日,IZJK
槡,,木又又又木,IDDI
槢,xi2,木羽白,ICUb
槣,gui1,木宀大丁口,IWEO
槣,ji1,木宀大丁口,IWEO
槤,lian2,木車辶,IJZd
槥,hui4,木丰丰彐,IIIB
槦,yong1,木广彐月⼁,IWSK
槧,qian4,車𠂆丅木,JRIc
槨,guo3,木亠口子阝,IYBB
槩,gai4,⺕厶匚儿木,BAVI
槪,gai4,木白匕匚儿,IUFV
槫,quan2,木車⼂寸,IJWI
槫,shuan4,木車⼂寸,IJWI
槫,tuan2,木車⼂寸,IJWI
槬,hua4,木大一丂瓜,IFER
槭,qi1,木戊上小,IFLC
槭,qi4,木戊上小,IFLC
槮,sen1,木厶厶厶𠆢彡,IAUS
槯,cui1,木山隹,IMTw
槯,zui3,木山隹,IMTw
槰,peng2,木夂丰辶,IVIZ
槱,you3,木酉灬,IEXh
槲,hu2,木⺈用⺀十,IQZE
槳,jiang3,爿{炙上}寸木,ASIp
槴,hu4,木户口巴,IZOD
槵,huan4,木口口丨心,IOKR
槶,gui4,木囗戈口一,INOG
槷,nie4,土八土九丶木,JTWI
槷,xie4,土八土九丶木,JTWI
槷,yi4,土八土九丶木,JTWI
槸,yi4,木土八土九丶,IJRW
槹,gao1,木白冫{飞右}十,IUTE
槺,kang1,木广⺕氺,IWBA
槻,gui1,木夫見,IJNj
槼,gui1,夫見木,JNIf
槽,cao2,木龷日日,IHKK
槾,man2,木日罒又,IKMD
槿,jin3,木革二,IHEe
樀,di1,木亠丷冂古,IYMJ
樀,di2,木亠丷冂古,IYMJ
樀,zhe2,木亠丷冂古,IYMJ
樀,zhi2,木亠丷冂古,IYMJ
樁,zhuang1,木一夫臼,IGJU
樂,le4,白幺幺木,UAIb
樂,yue4,白幺幺木,UAIb
樃,lang3,木⼂彐厶月,IWAS
樄,chen2,木阝木日,IBIK
樅,cong1,木彳人人龰,ISUL
樆,chi1,木文凵冂厶,IYMA
樆,li2,木文凵冂厶,IYMA
樇,xiu1,木亻丨夂⺝,ITVS
樈,qing2,木音儿,IYVe
樉,shuang3,木大㐅乂㐅乂,IFTT
樊,fan2,木㐅乂木大,ITIF
樋,tong3,木龴用辶,IDSZ
樌,guan4,木{毌框}十貝,ICEN
樍,ze2,木龶貝,IENb
樎,su4,木宀亻丆日,IWGK
樏,lei3,木田糸,IKAv
樐,lu3,木鹵,ILl
樑,liang2,木氵刀八木,IZTI
