char,pinyin,division,code
亞,ya4,一{亞下},GNu
亟,ji2,了口又一,BOGl
亟,qi4,了口又一,BOGl
亠,tou2,亠,Yu
亡,wang2,亠𠃊,YCu
亢,kang4,亠几,YQj
亣,ta4,丶丌,WHj
交,jiao1,亠八乂,YTTi
亥,hai4,亥,Yh
亦,yi4,亦,Yi
产,chan3,立⼃,YPul
亨,heng1,亠口了,YOBl
亩,mu3,亠田,YKt
亪,,亦乁,YBui
享,xiang3,亠口子,YOBz
京,jing1,亠口小,YOCx
亭,ting2,亠口冖丁,YOQE
亮,liang4,亠口冖几,YOQQ
亯,xiang3,亠口日,YOKv
亰,jing1,亠日小,YKCx
亱,ye4,亠亻日一,YTKG
亲,qin1,立朩,YIul
亲,qing1,立朩,YIul
亲,xin1,立朩,YIul
亲,zhen1,立朩,YIul
亳,bo2,亠口冖㇒七,YOPF
亴,you4,亠口冖土九,YOJR
亵,xie4,衣扌九丶,WFWy
亶,dan3,亠囗口日一,YNKG
亷,lian2,立⼃⺕〢八,YPTl
亸,duo3,亠口子丷日十,YOKE
亹,men2,亠𦥑冂一口冖且,YUQN
亹,wei3,亠𦥑冂一口冖且,YUQN
人,ren2,人,Uu
亻,ren2,亻,Tv
亼,ji2,𠆢一,UGu
亽,ji2,𠆢丶,UWu
亾,wang2,人𠃊,UCu
亿,yi4,亻乙,TBi
什,she2,亻十,TEu
什,shen2,亻十,TEu
什,shi2,亻十,TEu
仁,ren2,亻二,TEe
仂,le4,亻力,TCl
仃,ding1,亻丁,TEd
仄,ze4,厂人,GUuc
仅,fu4,亻又,TDo
仅,jin3,亻又,TDo
仅,nu2,亻又,TDo
仆,pu1,亻卜,TLb
仇,chou2,亻九,TRj
仇,qiu2,亻九,TRj
仈,ba1,亻八,TTu
仉,zhang3,亻几,TQj
今,jin1,𠆢丶乛,UWBu
介,jie4,人{介下},UTu
仌,bing1,人人,UUu
仍,reng2,亻乃,TAn
从,cong2,人人,UUu
仏,fo2,亻厶,TAi
仐,san3,𠆢十,UEu
仑,lun2,𠆢匕,UVi
仒,,𠆢⺀,UZu
仓,cang1,𠆢㔾,UBu
仔,zai3,亻子,TBz
仔,zi1,亻子,TBz
仔,zi3,亻子,TBz
仕,shi4,亻士,TJu
他,ta1,亻也,TBe
仗,zhang4,亻𠂇乀,THWu
付,fu4,亻寸,TIc
仙,xian1,亻山,TMv
仚,xian1,𠆢山,UMv
仛,cha4,亻㇒七,TPFq
仛,duo2,亻㇒七,TPFq
仛,tuo1,亻㇒七,TPFq
仛,zhe2,亻㇒七,TPFq
仜,hong2,亻工,TIg
仝,tong2,𠆢工,UIg
仞,ren4,亻刀丶,TDWu
仟,qian1,亻千,TRq
仠,gan3,亻干,TEg
仠,han4,亻干,TEg
仡,ge1,亻𠂉乙,TPBi
仡,yi4,亻𠂉乙,TPBi
仢,bo2,亻勹丶,TSWu
代,dai4,亻弋,TFi
令,ling2,𠆢丶龴,UWDu
令,ling3,𠆢丶龴,UWDu
令,ling4,𠆢丶龴,UWDu
以,yi3,厶人,AUui
仦,chao4,亻小,TCx
仧,chang2,上𠆢,LUus
仨,sa1,亻三,TIs
仩,,亻上,TLs
仪,yi2,亻丶乂,TWTi
仫,mu4,亻㇒厶,TPAi
们,,亻门,TZm
仭,ren4,亻刀乀,TDWu
仮,jia3,亻𠂆又,TRDo
仯,chao4,亻𡭔㇒,TCPu
仯,miao3,亻𡭔㇒,TCPu
仰,yang3,亻{卬左}卩,TVAe
仱,jing1,亻𠆢丶乛,TUWB
