井	〔二{介下}・ETue・GB2312〕
亖	〔二二・EEee・GBK〕
亗	〔山二・MEe・GBK〕
亘	〔二日・EKve・GB2312〕
亙	〔二{炙上}・ESue・GBK〕
亚	〔丌䒑・HXuj・GB2312〕
些	〔止匕二・LVEz・GB2312〕
亜	〔二口〢・EOLe・GBK〕
亝	〔厶厶厶二・AAEi・GBK〕
亞	〔一{亞下}・GNu・GBK〕
亟	〔了口又一・BOGl・GB2312〕
亠	〔亠・Yu・GB2312〕
亡	〔亠𠃊・YCu・GB2312〕
亢	〔亠几・YQj・GB2312〕
亣	〔丶丌・WHj・GBK〕
交	〔亠父・YTf・GB2312〕
亥	〔亥・Yh・GB2312〕
亦	〔亦・Yi・GB2312〕
产	〔立⼃・YPul・GB2312〕
亨	〔亠口了・YOBl・GB2312〕
亩	〔亠田・YKt・GB2312〕
亪	〔亦乁・YBui・GBK〕
享	〔亠口子・YOBz・GB2312〕
京	〔亠口小・YOCx・GB2312〕
亭	〔亠口冖丁・YOQE・GB2312〕
亮	〔亠口冖几・YOQQ・GB2312〕
亯	〔亠口日・YOKv・GBK〕
亰	〔亠日小・YKCx・GBK〕
亱	〔亠亻日一・YTKG・GBK〕
亲	〔立朩・YIul・GB2312〕
亳	〔亠口冖㇒七・YOPF・GB2312〕
亴	〔亠口冖土九・YOJR・GBK〕
亵	〔衣扌九丶・WFWy・GB2312〕
亶	〔亠囗口日一・YNKG・GBK〕
亷	〔立⼃⺕〢八・YPTl・GBK〕
亸	〔亠口子丷日十・YOKE・GBK〕
亹	〔亠𦥑冂一口冖且・YUQN・GBK〕
人	〔人・Uu・GB2312〕
亻	〔亻・Tv・GB2312〕
亼	〔𠆢一・UGu・GBK〕
亽	〔𠆢丶・UWu・GBK〕
亾	〔人𠃊・UCu・GBK〕
亿	〔亻乙・TBi・GB2312〕
什	〔亻十・TEu・GB2312〕
仁	〔亻二・TEe・GB2312〕
仂	〔亻力・TCl・GB2312〕
仃	〔亻丁・TEd・GB2312〕
仄	〔厂人・GUuc・GB2312〕
仅	〔亻又・TDo・GB2312〕
仆	〔亻卜・TLb・GB2312〕
仇	〔亻九・TRj・GB2312〕
仈	〔亻八・TTu・GBK〕
仉	〔亻几・TQj・GB2312〕
今	〔𠆢丶乛・UWBu・GB2312〕
介	〔人{介下}・UTu・GB2312〕
仌	〔人人・UUu・GBK〕
仍	〔亻乃・TAn・GB2312〕
从	〔人人・UUu・GB2312〕
仏	〔亻厶・TAi・GBK〕
仐	〔𠆢十・UEu・GBK〕
仑	〔𠆢匕・UVi・GB2312〕
仒	〔𠆢⺀・UZu・GBK〕
仓	〔𠆢㔾・UBu・GB2312〕
仔	〔亻子・TBz・GB2312〕
仕	〔亻士・TJu・GB2312〕
他	〔亻也・TBe・GB2312〕
仗	〔亻𠂇乀・THWu・GB2312〕
付	〔亻寸・TIc・GB2312〕
仙	〔亻山・TMv・GB2312〕
仚	〔𠆢山・UMv・GBK〕
仛	〔亻㇒七・TPFq・GBK〕
仜	〔亻工・TIg・GBK〕
仝	〔𠆢工・UIg・GB2312〕
仞	〔亻刀丶・TDWu・GB2312〕
仟	〔亻千・TRq・GB2312〕
仠	〔亻干・TEg・GBK〕
仡	〔亻𠂉乙・TPBi・GB2312〕
仢	〔亻勹丶・TSWu・GBK〕
代	〔亻弋・TFi・GB2312〕
令	〔𠆢丶龴・UWDu・GB2312〕
以	〔厶人・AUui・GB2312〕
仦	〔亻小・TCx・GBK〕
仧	〔上𠆢・LUus・GBK〕
仨	〔亻三・TIs・GB2312〕
仩	〔亻上・TLs・GBK〕
仪	〔亻丶乂・TWTi・GB2312〕
仫	〔亻㇒厶・TPAi・GB2312〕
们	〔亻门・TZm・GB2312〕
仭	〔亻刀乀・TDWu・GBK〕
仮	〔亻𠂆又・TRDo・GBK〕
仯	〔亻𡭔㇒・TCPu・GBK〕
仰	〔亻{卬左}卩・TVAe・GB2312〕
仱	〔亻𠆢丶乛・TUWB・GBK〕
仲	〔亻口丨・TOKu・GB2312〕
仳	〔亻比・TVb・GB2312〕
仴	〔亻月・TSv・GBK〕
仵	〔亻𠂉十・TPEu・GB2312〕
件	〔亻牛・TPn・GB2312〕
价	〔亻人{介下}・TUTu・GB2312〕
仸	〔亻夭・TRy・GBK〕
仹	〔亻丰・TIf・GBK〕
仺	〔𠆢匚一・UFGu・GBK〕
任	〔亻壬・TRr・GB2312〕
仼	〔亻王・TEv・GBK〕
份	〔亻八刀・TTDd・GB2312〕
仾	〔亻二{互中}・TECu・GBK〕
仿	〔亻方・TYu・GB2312〕
伀	〔亻八厶・TTAi・GBK〕
企	〔𠆢止・ULz・GB2312〕
伂	〔亻一巾・TGMj・GBK〕
伃	〔亻予・TBy・GBK〕
伄	〔亻弓丨・TDKu・GBK〕
伅	〔亻七凵・TFAu・GBK〕
伆	〔亻⼓{两撇}・TSSu・GBK〕
伇	〔亻殳・TQs・GBK〕
伈	〔亻心・TRx・GBK〕
伉	〔亻亠几・TYQj・GB2312〕
伊	〔亻⺕丿・TBPu・GB2312〕
伋	〔亻乃⼂・TAWu・GBK〕
伌	〔亻厂㔾・TGBu・GBK〕
伍	〔亻一{五下}・TGDu・GB2312〕
伎	〔亻十又・TEDo・GB2312〕
伏	〔亻犬・TJq・GB2312〕
伐	〔亻戈・TFg・GB2312〕
休	〔亻木・TIv・GB2312〕
伒	〔亻𠂆丅・TRJu・GBK〕
伓	〔亻不・TGb・GBK〕
伔	〔亻冖几・TQQj・GBK〕
伕	〔亻夫・TJf・GBK〕
伖	〔亻𠂇又・THDo・GBK〕
众	〔人人人・UUUu・GB2312〕
优	〔亻尤・TJo・GB2312〕
伙	〔亻火・TXv・GB2312〕
会	〔人二厶・UEAi・GB2312〕
伛	〔亻匚㐅・TFTi・GB2312〕
伜	〔亻九十・TREu・GBK〕
伝	〔亻二厶・TEAi・GBK〕
伞	〔𠆢丷十・UXEu・GB2312〕
伟	〔亻キ𠃌・TFBu・GB2312〕
传	〔亻二㇉丶・TECW・GB2312〕
伡	〔亻车・TFc・GBK〕
伢	〔亻牙・TFy・GB2312〕
伣	〔亻冂儿・TMVe・GBK〕
伤	〔亻𠂉力・TPCl・GB2312〕
伥	〔亻长・TPc・GB2312〕
伦	〔亻𠆢匕・TUVi・GB2312〕
伧	〔亻𠆢㔾・TUBu・GB2312〕
伨	〔亻勹冫・TSXs・GBK〕
伩	〔亻文・TYw・GBK〕
伪	〔亻⺀力・TZCl・GB2312〕
伫	〔亻宀一・TWGu・GB2312〕
伬	〔亻尸㇏・TDWu・GBK〕
伭	〔亻亠幺・TYAy・GBK〕
伮	〔亻女又・TCDo・GBK〕
伯	〔亻白・TUb・GB2312〕
估	〔亻古・TJg・GB2312〕
伱	〔亻𠆢小・TUCx・GBK〕
伲	〔亻尸匕・TDVi・GB2312〕
伳	〔亻世・THs・GBK〕
伴	〔亻丷キ・TXFu・GB2312〕
伵	〔亻囗儿・TNVe・GBK〕
伶	〔亻𠆢丶龴・TUWD・GB2312〕
伷	〔亻由・TKy・GBK〕
伸	〔亻申・TKs・GB2312〕
伹	〔亻且・TNq・GBK〕
伺	〔亻𠃌一口・TBGO・GB2312〕
伻	〔亻干丷・TEXu・GBK〕
似	〔亻厶人・TAUu・GB2312〕
伽	〔亻力口・TCOv・GB2312〕
伾	〔亻不一・TGGu・GBK〕
伿	〔亻口八・TOTu・GBK〕
佀	〔亻尸コ・TDDu・GBK〕
佁	〔亻厶口・TAOv・GBK〕
佂	〔亻一止・TGLz・GBK〕
佃	〔亻田・TKt・GB2312〕
佄	〔亻卄二・THEe・GBK〕
佅	〔亻未・TIw・GBK〕
但	〔亻日一・TKGu・GB2312〕
佇	〔亻宀丁・TWEd・GBK〕
佈	〔亻𠂇巾・THMj・GBK〕
佉	〔亻土厶・TJAi・GBK〕
佊	〔亻皮・TDp・GBK〕
佋	〔亻刀口・TDOv・GBK〕
佌	〔亻止匕・TLVi・GBK〕
位	〔亻立・TYl・GB2312〕
低	〔亻{卬左}七丶・TVFW・GB2312〕
住	〔亻丶王・TWEv・GB2312〕
佐	〔亻𠂇工・THIg・GB2312〕
佑	〔亻𠂇口・THOv・GB2312〕
佒	〔亻冂大・TMFd・GBK〕
体	〔亻木一・TIGu・GB2312〕
佔	〔亻⺊口・TLOv・GBK〕
何	〔亻丁口・TEOv・GB2312〕
佖	〔亻心㇒・TRPu・GBK〕
佗	〔亻宀匕・TWVi・GB2312〕
佘	〔𠆢示・UFs・GB2312〕
余	〔𠆢一朩・UGIu・GB2312〕
佚	〔亻㇒夫・TPJf・GB2312〕
佛	〔亻弓{介下}・TDTu・GB2312〕
作	〔亻𠂉{乍下}・TPLu・GB2312〕
佝	〔亻勹口・TSOv・GB2312〕
佞	〔亻二女・TECv・GB2312〕
佟	〔亻夂⺀・TVZu・GB2312〕
你	〔亻⺈小・TQCx・GB2312〕
佡	〔亻𠆢山・TUMv・GBK〕
佢	〔亻匚コ・TFDu・GBK〕
佣	〔亻用・TSy・GB2312〕
佤	〔亻瓦・THw・GB2312〕
佥	〔人二⺍・UEZu・GB2312〕
佦	〔亻石・TGv・GBK〕
佧	〔亻上卜・TLLb・GB2312〕
佨	〔亻勹巳・TSDs・GBK〕
佩	〔亻𠘨一巾・TQGM・GB2312〕
佪	〔亻囗口・TNOv・GBK〕
佫	〔亻夂口・TVOv・GBK〕
佬	〔亻耂匕・TJVi・GB2312〕
佭	〔亻夂㐄・TVFu・GBK〕
佮	〔亻人一口・TUGO・GBK〕
佯	〔亻羊・TXy・GB2312〕
佰	〔亻丆日・TGKv・GB2312〕
佱	〔人二止・UELz・GBK〕
佲	〔亻夕口・TQOv・GBK〕
佳	〔亻土土・TJJv・GB2312〕
佴	〔亻耳・THe・GB2312〕
併	〔亻䒑廾・TXHv・GBK〕
佶	〔亻士口・TJOv・GB2312〕
佷	〔亻艮・TBg・GBK〕
佸	〔亻千口・TROv・GBK〕
佹	〔亻⺈厂㔾・TQGB・GBK〕
佺	〔亻𠆢王・TUEv・GBK〕
佻	〔亻儿冫{飞右}・TVXT・GB2312〕
佼	〔亻亠父・TYTf・GB2312〕
佽	〔亻冫欠・TXQq・GBK〕
佾	〔亻八⺝・TTSv・GB2312〕
使	〔亻一口乂・TGOT・GB2312〕
侀	〔亻一廾刂・TGHL・GBK〕
侁	〔亻𠂒儿・TPVe・GBK〕
侂	〔亻广㇒七・TWPF・GBK〕
侃	〔亻口𫶧・TOVu・GB2312〕
侄	〔亻至・TFz・GB2312〕
侅	〔亻亥・TYh・GBK〕
來	〔來・Il・GBK〕
侇	〔亻大弓・TFDg・GBK〕
侈	〔亻夕夕・TQQx・GB2312〕
侉	〔亻大一丂・TFGE・GB2312〕
侊	〔亻⺌兀・TNGw・GBK〕
例	〔亻歹刂・TGLd・GB2312〕
侌	〔𠆢丶乛二厶・UWEA・GBK〕
侍	〔亻土寸・TJIc・GB2312〕
侎	〔亻米・TXm・GBK〕
侏	〔亻㇒未・TPIw・GB2312〕
侐	〔亻㇒皿・TPMm・GBK〕
侑	〔亻𠂇⺝・THSv・GB2312〕
侒	〔亻宀女・TWCv・GBK〕
侓	〔亻⺕キ・TBFu・GBK〕
侔	〔亻厶牛・TAPn・GB2312〕
侕	〔亻而・TGe・GBK〕
侖	〔人一𠕁・UGMu・GBK〕
侗	〔亻冂一口・TMGO・GB2312〕
侘	〔亻宀㇒七・TWPF・GBK〕
侙	〔亻弋工・TFIg・GBK〕
侚	〔亻勹日・TSKv・GBK〕
供	〔亻龷八・THTu・GB2312〕
侜	〔亻舟・TRo・GBK〕
依	〔亻衣・TWy・GB2312〕
侞	〔亻女口・TCOv・GBK〕
侟	〔亻𠂇⼁子・THKB・GBK〕
侠	〔亻夫丷・TJXu・GB2312〕
価	〔亻覀・TEx・GBK〕
侢	〔亻王冂・TEMu・GBK〕
侣	〔亻口口・TOOv・GB2312〕
侤	〔亻耂丂・TJEk・GBK〕
侥	〔亻七㇒兀・TFPG・GB2312〕
侦	〔亻⺊贝・TLMb・GB2312〕
侧	〔亻贝刂・TMLd・GB2312〕
侨	〔亻夭{介下}・TRTu・GB2312〕
侩	〔亻人二厶・TUEA・GB2312〕
侪	〔亻文{介下}・TYTu・GB2312〕
侫	〔亻亠𠃊女・TYCC・GBK〕
侬	〔亻冖𧘇・TQRu・GB2312〕
侭	〔亻尸㇏⺀・TDWZ・GBK〕
侮	〔亻𠂉母・TPCm・GB2312〕
侯	〔亻コ矢・TDPi・GB2312〕
侰	〔亻⺕丿口・TBPO・GBK〕
侱	〔亻口王・TOEv・GBK〕
侲	〔亻辰・TGn・GBK〕
侳	〔亻人人土・TUUJ・GBK〕
侴	〔人一コ十刂・UGEL・GBK〕
侵	〔亻彐冖又・TBQD・GB2312〕
侶	〔亻口{囟框}・TOUu・GBK〕
侷	〔亻尸𠃌口・TDBO・GBK〕
侸	〔亻一口䒑・TGOX・GBK〕
侹	〔亻𡈼廴・TRBd・GBK〕
侺	〔亻山𠆢丶乛・TMWB・GBK〕
侻	〔亻丷口儿・TXOV・GBK〕
侼	〔亻十冖子・TEQB・GBK〕
侽	〔亻田力・TKCl・GBK〕
侾	〔亻耂子・TJBz・GBK〕
便	〔亻一日乂・TGKT・GB2312〕
俀	〔亻爫女・TVCv・GBK〕
俁	〔亻口𠃑大・TOCF・GBK〕
係	〔亻㇒糸・TPAv・GBK〕
促	〔亻口龰・TOLu・GB2312〕
俄	〔亻㇒扌戈・TPFF・GB2312〕
俅	〔亻一氺丶・TGAW・GB2312〕
俆	〔亻𠆢一朩・TUGI・GBK〕
俇	〔亻犭王・TVEv・GBK〕
俈	〔亻𠂒口・TPOv・GBK〕
俉	〔亻一{五下}口・TGDO・GBK〕
俊	〔亻厶八夊・TATV・GB2312〕
俋	〔亻口巴・TODb・GBK〕
俌	〔亻甫・TEf・GBK〕
俍	〔亻丶艮・TWBg・GBK〕
俎	〔人人且・UUNq・GB2312〕
俏	〔亻⺌⺝・TNSv・GB2312〕
俐	〔亻禾刂・TRLd・GB2312〕
俑	〔亻龴用・TDSy・GB2312〕
俒	〔亻宀一兀・TWGG・GBK〕
俓	〔亻一巛工・TGCI・GBK〕
俔	〔亻見・TNj・GBK〕
俕	〔亻宀木・TWIv・GBK〕
俖	〔亻不口・TGOv・GBK〕
俗	〔亻八𠆢口・TTUO・GB2312〕
俘	〔亻爫子・TVBz・GB2312〕
俙	〔亻㐅𠂇巾・TTHM・GBK〕
俚	〔亻甲二・TKEe・GB2312〕
俛	〔亻⺈口儿・TQOV・GBK〕
俜	〔亻由丂・TKEk・GB2312〕
保	〔亻口木・TOIv・GB2312〕
俞	〔人一⺝刂・UGSL・GB2312〕
俟	〔亻厶矢・TAPi・GB2312〕
俠	〔亻大人人・TFUU・GBK〕
信	〔亻言・TYv・GB2312〕
俢	〔亻夂彡・TVSs・GBK〕
俣	〔亻口一大・TOGF・GB2312〕
