一	〔一・Gu〕
㳣	〔氵耂匕・ZJVi〕
㳥	〔氵王廾・ZEHv〕
㳦	〔氵戈廾・ZFHv〕
㳧	〔氵耳乚・ZHCu〕
㳨	〔氵巛歹・ZCGd〕
㳩	〔氵工⺆亠・ZISY〕
㳪	〔氵不口・ZGOv〕
㳫	〔水臼・AUjs〕
㳬	〔氵𠂉乛龰・ZPBL〕
㳭	〔氵口木・ZOIv〕
㳮	〔氵尸水・ZDAs〕
㳯	〔氵辛・ZYx〕
㳰	〔氵亠厶廾・ZYAH〕
㳱	〔氵阝日・ZBKv〕
㳲	〔氵氵大丶・ZZFW〕
㳳	〔氵古儿・ZJVe〕
㳴	〔氵心㇒土・ZRPJ〕
㳵	〔氵禾子・ZRBz〕
㳶	〔氵爫子乚・ZVBC〕
㳷	〔氵⼓{两撇}曰・ZSSK〕
㳸	〔氵艹亻𠤎・ZHTV〕
㳹	〔氵木王・ZIEv〕
㳺	〔氵扌𠂉子・ZFPB〕
㳻	〔氵龷日・ZHKv〕
㳼	〔戈口一水・FOAg〕
㳾	〔氵⺶乚・ZXCu〕
㴀	〔氵艹㇒之・ZHPZ〕
㴁	〔氵一大二{介下}・ZGET〕
㴂	〔氵工冂土・ZIMJ〕
㴃	〔氵户水・ZZAs〕
㴄	〔氵囗八冂・ZNTM〕
㴅	〔水囗八口・ANOs〕
㴆	〔氵彐冖巾・ZBQM〕
㴇	〔水水水・AAAs〕
㴈	〔氵亻工山・ZTIM〕
㴉	〔氵厶厶厶二・ZAAE〕
㴊	〔氵䒑䶹刂・ZXAL〕
㴋	〔氵⺕小{介下}・ZBCT〕
㴌	〔氵女古・ZCJg〕
㴍	〔氵乛水三・ZBAI〕
㴎	〔氵大示・ZFFs〕
㴏	〔氵穴王・ZWEv〕
㴐	〔氵目丅𠃊𠃌・ZNCB〕
㴑	〔氵广䒑䶹・ZWXA〕
㴒	〔氵亦廾・ZYHv〕
㴓	〔氵田心・ZKRx〕
㴔	〔氵⺈彐心・ZQBR〕
㴕	〔氵艹禾・ZHRv〕
㴖	〔氵革・ZHg〕
㴗	〔氵覀女・ZECv〕
㴘	〔氵曰目・ZKNv〕
㴙	〔氵千臼・ZRUj〕
㴚	〔氵䒑𧰨・ZXRu〕
㴛	〔氵至攵・ZFPp〕
㴜	〔氵户𠕁・ZZMu〕
㴝	〔禾刂𠆢水・RLUA〕
㴞	〔氵爫丨日・ZVKK〕
㴟	〔氵厂日子・ZGKB〕
㴠	〔氵了口又凵・ZBDA〕
㴡	〔氵禾日・ZRKv〕
㴢	〔氵氵亻口丨・ZZOK〕
㴣	〔氵氵大弓・ZZFD〕
㴤	〔氵木丶王・ZIWE〕
㴥	〔氵山⺌⺝・ZMNS〕
㴦	〔氵宀口口・ZWOO〕
㴧	〔氵自心・ZTRx〕
㴨	〔氵月䒑大・ZSXF〕
㴩	〔氵巛口巴・ZCOD〕
㴪	〔氵自木・ZTIv〕
㴫	〔氵⺕丿口阝・ZBOB〕
㴬	〔氵身寸・ZTIc〕
㴭	〔氵穴目・ZWNv〕
㴮	〔氵尸⺌⺝・ZDNS〕
㴯	〔氵月匕日・ZSVK〕
㴰	〔氵厶⺝匕匕・ZAVV〕
㴱	〔氵穴大丷・ZWFX〕
㴲	〔氵𠂆虍几・ZRLQ〕
㴳	〔氵土尤彡・ZJJS〕
㴵	〔氵心㇒皿・ZRPM〕
㴶	〔氵冖隹・ZQTw〕
㴷	〔氵耳冖儿・ZHQV〕
㴸	〔氵門人・ZNUu〕
㴹	〔氵米辶・ZXZd〕
㴺	〔氵氵大人人・ZZUU〕
㴻	〔氵一口䒑寸・ZGXI〕
㴼	〔氵宀亻丆日・ZWGK〕
㴽	〔氵㇒米心・ZPXR〕
㴾	〔氵十冖子攵・ZEBP〕
㴿	〔氵丁頁・ZEGy〕
㵀	〔氵方𠂉矢・ZYPP〕
㵁	〔氵艹亠厶儿・ZHAV〕
㵂	〔氵广卄一灬・ZWGX〕
㵃	〔氵虫宀匕・ZLWV〕
㵄	〔氵戈口一大・ZFGF〕
㵅	〔氵𠆢丶乛貝・ZUBN〕
㵆	〔氵日𠂒口・ZKPO〕
㵇	〔氵千口卄二・ZRHE〕
㵈	〔氵氵女古・ZZCJ〕
㵉	〔氵氵木木・ZZII〕
㵊	〔氵日耳又・ZKHD〕
㵋	〔氵罒貝・ZMNb〕
㵌	〔氵彳𠂆十目・ZSEN〕
㵍	〔氵門心・ZNRx〕
㵎	〔氵門月・ZNSv〕
㵏	〔氵艹亠人人十・ZHUE〕
㵐	〔氵厂䒑䶹欠・ZGAQ〕
㵑	〔氵力口貝・ZCON〕
㵒	〔氵弓{介下}貝・ZDTN〕
㵓	〔氵宀日一龰・ZWGL〕
㵔	〔氵大耂日・ZFJK〕
㵕	〔氵厶厶厶𠆢小⼂・ZACW〕
㵖	〔氵女口糸・ZCOA〕
㵗	〔冫馬水・XEAs〕
㵘	〔水水水水・AAAs〕
㵙	〔氵士口䒑口・ZJXO〕
㵚	〔氵八乂金・ZTTV〕
㵛	〔氵羊䒑口・ZXXO〕
㵜	〔氵氵十冂䒑十・ZZXE〕
㵝	〔氵衣冂八口・ZWTO〕
㵞	〔氵禾火心・ZRXR〕
㵟	〔氵彳山一几攵・ZSQP〕
㵠	〔氵穴尸屮凵・ZWAA〕
㵡	〔氵雨勹巳・ZJSD〕
㵢	〔氵雨田・ZJKt〕
㵣	〔氵日勹人𠃊欠・ZKCQ〕
㵤	〔氵羽大人人・ZCUU〕
㵥	〔氵宀心㇒皿・ZWPM〕
㵦	〔氵𠂇工⺝辶・ZHSZ〕
㵧	〔氵艹日勹人𠃊・ZHUC〕
㵨	〔尸口辛水・DOYA〕
㵩	〔氵艹世木・ZHHI〕
㵪	〔氵䒑土冫欠・ZXXQ〕
㵫	〔氵子子子日・ZBBK〕
㵬	〔氵月乃又皿・ZSDM〕
㵭	〔氵耂日灬・ZJKX〕
㵯	〔氵𠘨一鳥・ZQGU〕
㵰	〔氵𦥑丂丄八・ZUOT〕
㵱	〔氵覀示寸・ZEFI〕
㵲	〔氵𠂉卅歹ヰ・ZPGF〕
㵳	〔氵宀羽𠆢彡・ZWUS〕
㵴	〔氵戈爿臣・ZFAF〕
㵵	〔氵耳又亻{两撇}{飞右}・ZHST〕
㵶	〔氵十戈隹・ZEFT〕
㵷	〔辛氵辛・YZYx〕
㵸	〔氵人一口口𠕁・ZUOM〕
㵹	〔氵山艹日大・ZMKF〕
㵺	〔氵𥫗白千・ZPUR〕
㵻	〔氵月臼丨又・ZSKD〕
㵼	〔氵冖臼勹灬・ZQSX〕
㵽	〔氵田田田・ZKKK〕
㵾	〔氵龶⺝見・ZESN〕
㵿	〔氵白白白・ZUUU〕
㶀	〔氵月羽𠆢彡・ZSUS〕
㶁	〔氵爫寸虍几・ZVLQ〕
㶂	〔氵氵龷由八・ZZKT〕
㶃	〔氵氵𠂉卌一灬・ZZGX〕
㶄	〔氵門⺈臼・ZNQU〕
㶅	〔氵𦥑㐅乂冖子・ZUQB〕
㶆	〔氵訁耂日・ZYJK〕
㶇	〔氵木龷由八・ZIKT〕
㶈	〔氵火火冖虫・ZXQL〕
㶉	〔氵爫幺大鸟・ZVFS〕
㶊	〔氵臣頁・ZFGy〕
㶋	〔氵〢䒑𧰨生・ZLRP〕
㶌	〔氵耳幺幺丱・ZHAA〕
㶍	〔氵魚羊・ZQXy〕
㶎	〔氵罒一口𧘇辶・ZMRZ〕
㶏	〔氵阝爫工彐心・ZBBR〕
㶐	〔氵广亻隹心・ZWTR〕
㶑	〔氵僉欠・ZUQq〕
㶒	〔氵門馬・ZNEm〕
㶓	〔氵艹戈爿臣・ZHAF〕
㶔	〔氵罒罒罒大・ZMMF〕
㶕	〔氵𥫗門日・ZPNK〕
㶖	〔氵亻丨夂黑・ZTVM〕
㶗	〔𠂉母糸白水・PCUA〕
㶘	〔氵𥫗覀早・ZPEK〕
㶙	〔氵氵〢䒑𧰨生・ZZRP〕
㶚	〔氵覀革月・ZEHS〕
㶛	〔氵方𠂉𦥑丂丄八・ZYOT〕
㶜	〔氵尸䒑廾尸䒑廾刂・ZDHL〕
㶝	〔氵氵广亻隹心・ZZTR〕
㶞	〔氵日衣口口一龷・ZKGH〕
㶟	〔氵田田田糸・ZKKA〕
㶠	〔氵馬罒土䒑十・ZEXE〕
㶡	〔𠘨火・QXvj〕
㶢	〔火九・XRj〕
㶣	〔干火・EXvg〕
㶤	〔火夕・XQx〕
㶥	〔火干・XEg〕
㶦	〔火予・XBy〕
㶧	〔火冂人・XMUu〕
㶨	〔不灬・GXhb〕
㶩	〔火冖儿・XQVe〕
㶪	〔不火・GXvb〕
㶫	〔大丷火・FXXd〕
㶬	〔火末・XIm〕
㶭	〔火幺力・XACl〕
㶮	〔一冂人火・GMUX〕
㶯	〔火{卬左}丿卩・XVPA〕
㶰	〔火卄二・XHEe〕
㶱	〔火木一・XIGu〕
㶲	〔火用・XSy〕
㶳	〔⺕キ火・BFXv〕
㶴	〔火夕夕・XQQx〕
㶵	〔亻壬灬・TRXh〕
㶶	〔火冖𧘇・XQRu〕
㶷	〔火勹日・XSKv〕
㶸	〔火力力力・XCCC〕
㶹	〔火工水・XIAs〕
㶺	〔火一大口・XGFO〕
㶻	〔夂丰灬・VIXh〕
㶼	〔火厶矢・XAPi〕
㶽	〔火口冂人・XOMU〕
㶾	〔覀一火・EGXx〕
㶿	〔火十冖子・XEQB〕
㷀	〔火火⺄十・XXBE〕
㷁	〔火龴用・XDSy〕
㷂	〔臣又火・FDXe〕
㷃	〔火長・XEz〕
㷄	〔火日木・XKIv〕
㷅	〔耳又火・HDXe〕
㷆	〔火𠂤十・XUEu〕
㷇	〔夕夕𠂇火・QQXx〕
㷈	〔火大电・XFKd〕
㷉	〔尸二火寸・DEXI〕
㷊	〔木木灬・IIXh〕
㷋	〔火火火・XXXv〕
㷌	〔火彐冖巾・XBQM〕
㷍	〔火人一𠕁・XUGM〕
㷎	〔火日勹人𠃊・XKUC〕
㷏	〔禾𠂉十火・RPEX〕
㷐	〔火臼土・XUJv〕
㷑	〔火覀土・XEJv〕
㷒	〔火禺・XKo〕
㷓	〔火⼓{两撇}丶心・XSWR〕
㷔	〔火爫丨日・XVKK〕
㷕	〔丷酉火・XEXv〕
㷖	〔日火刀口・KXDO〕
㷗	〔丿尸コ巳火・PDDX〕
㷘	〔火厶口木・XAOI〕
㷙	〔火䒑⺝刂・XXSL〕
㷚	〔火亠口冖丁・XYQE〕
㷛	〔亻口木灬・TOIX〕
㷜	〔火亦大・XYFd〕
㷝	〔火穴犬・XWJq〕
㷞	〔火厂日子・XGKB〕
㷟	〔火𠂤辶・XUZd〕
㷠	〔火火夕㐄・XXQF〕
㷡	〔目匚コ火・NFDX〕
㷢	〔⺶工火・XIXy〕
㷣	〔火䒑土牛・XXJP〕
㷤	〔士冖一火殳・JQXQ〕
㷥	〔火火乛水一・XXAG〕
㷦	〔耳火灬・HXXe〕
㷧	〔火厂白小・XGUC〕
㷨	〔火山夂丰・XMVI〕
㷩	〔丿臣己火・PFDX〕
㷪	〔火隹乃・XTAn〕
㷫	〔士𠃜殳火・JDQX〕
㷬	〔火艹日大・XHKF〕
㷭	〔夂丰辶火・VIZX〕
㷮	〔火龷日日・XHKK〕
㷯	〔火土一夫キ・XJJF〕
㷰	〔火文凵冂厶・XYMA〕
㷱	〔厶⺝土厶灬・ASXi〕
㷲	〔火㇒車一力・XPGC〕
㷳	〔厂亻隹火・GTXc〕
㷴	〔厂禾禾火・GRXc〕
㷵	〔火黑・XMh〕
㷶	〔亻龷㇒用灬・THSX〕
㷷	〔火巳巳龷八・XDHT〕
㷸	〔火日干龷・XKEH〕
㷹	〔火艹⺊早・XHLK〕
㷺	〔⺈臼攵火・QUPX〕
㷻	〔火𠂉卌一灬・XPGX〕
㷼	〔卄一口丬匕火・HGVX〕
㷽	〔火羊䒑口・XXXO〕
㷾	〔火虍豕・XLGs〕
㷿	〔火僉・XUq〕
㸀	〔火亠口冂口土・XYOJ〕
㸁	〔火〢䒑䒑未・XLXI〕
㸂	〔䒑𧰨辶火・XRZX〕
㸄	〔火亠丷⼁刀{卬左}⼂{介下}二・XYTE〕
㸅	〔火𥫗⺕厶卩・XPAA〕
㸆	〔火𠂒口非・XPOL〕
㸇	〔火夫夫貝・XJJN〕
㸈	〔隹隹火・TTXw〕
㸉	〔火辛火火・XYXX〕
㸊	〔火木口⺈貝・XIQN〕
㸋	〔{炙上}火㇒米田・SXXK〕
㸌	〔火雨隹・XJTw〕
㸍	〔火虍一口䒑戈・XLXF〕
㸎	〔火耳耳耳・XHHH〕
㸏	〔麻非火・WLXm〕
㸐	〔卄一口夫隹灬・HGTX〕
㸑	〔𦥑冂一口冖木木火・UMIX〕
㸒	〔爫壬・VRr〕
㸓	〔爫日・VKv〕
㸔	〔千丷目・RXNq〕
㸕	〔爪隹又・RTDz〕
㸖	〔八乂且・TTNq〕
㸗	〔八乂冂一口・TTGO〕
㸘	〔八乂罒丁・TTME〕
㸙	〔八乂耂日・TTJK〕
㸚	〔㐅乂㐅乂・TTTi〕
㸛	〔爿刀口・ADOp〕
㸜	〔爿穴工・AWIp〕
㸝	〔片欠・TQqp〕
㸞	〔片片・TTpp〕
㸟	〔片匕日・TVKp〕
㸠	〔片儿冫{飞右}・TVTp〕
㸡	〔片㇒未・TPIp〕
㸢	〔片龷㇒用・THSp〕
㸣	〔片〢䒑䒑未・TLIp〕
㸤	〔辛片辛・YTYx〕
㸥	〔片⺈口比⺈口儿丶・TQWp〕
㸧	〔牙艮・FBgy〕
㸨	〔牜丩・PAun〕
㸩	〔牜干・PEgn〕
㸪	〔牜川・PTcn〕
㸫	〔牜𠂆丅・PRJn〕
㸬	〔牜一巾・PGMn〕
㸭	〔牜巴・PDbn〕
㸮	〔牜八刀・PTDn〕
㸯	〔牜⺀十・PZEn〕
㸰	〔牜宀匕・PWVn〕
㸱	〔牜𠂉也・PPBn〕
㸲	〔牜𠂉{乍下}・PPLn〕
㸳	〔牜𠆢丶龴・PUDn〕
㸴	〔石牛・GPn〕
㸵	〔牜士口・PJOn〕
㸶	〔牜囗大・PNFn〕
㸷	〔丰刀牛・IDPf〕
㸸	〔牜𠂆一口・PROn〕
㸹	〔牜爫寸・PVIn〕
㸺	〔氵𡭔㇒牛・ZCPP〕
㸻	〔牜厶矢・PAPn〕
㸼	〔牜夂丰・PVIn〕
㸽	〔牜貝・PNbn〕
㸾	〔牜刀丶心・PDRn〕
㹀	〔牜十冖子・PEBn〕
㹁	〔牜亠口小・PYCn〕
㹂	〔臣又牛・FDPe〕
㹃	〔非牛・LPnf〕
㹄	〔牜田八夊・PKVn〕
㹅	〔牜⼓{两撇}丶心・PSRn〕
㹆	〔牜冖車・PQJn〕
㹇	〔牜日勹人𠃊・PKCn〕
㹈	〔未攵牛・IPPw〕
㹉	〔牜厂白小・PGCn〕
㹊	〔牜冖隹・PQTn〕
㹋	〔牜亻丨夂彡・PTSn〕
㹌	〔牜立⼃生・PYPn〕
㹍	〔牜亠丷冂古・PYJn〕
㹎	〔牜田糸・PKAn〕
㹏	〔牜革二・PHEn〕
㹐	〔彳人人龰牛・SUPr〕
㹑	〔牜弋二貝・PFNn〕
㹒	〔牜〢䒑䒑夫・PLJn〕
㹓	〔牜土土土兀・PJGn〕
㹔	〔牜三田田・PIKn〕
㹕	〔一兀頁牛・GGGP〕
㹖	〔牜丷夫豕・PXGn〕
㹗	〔牜士乛工一口寸・PJIn〕
㹘	〔牜雨而・PJGn〕
㹙	〔牜火火冖目・PXNn〕
㹚	〔牜火火冖口口・PXOn〕
㹛	〔牜頁止巳八夊・PGVn〕
㹜	〔犬犬・JJqq〕
㹝	〔犭{卬左}七・VVFq〕
㹞	〔犭𠂆丅・VRJq〕
㹟	〔犭𠃍大・VBFq〕
㹠	〔犭七凵・VFAq〕
㹡	〔犭亠幺・VYAq〕
㹢	〔犭力口・VCOq〕
㹣	〔犭夂⺀・VVZq〕
㹤	〔犭土厶・VJAq〕
㹥	〔犭丶王・VWEq〕
㹦	〔犭刀口・VDOq〕
㹧	〔犭冂大・VMFq〕
㹨	〔犭由・VKyq〕
㹩	〔犭又土・VDJq〕
㹪	〔犭⺆⺆一・VSGq〕
㹫	〔犭大弓・VFDq〕
㹬	〔犭一口乂・VGTq〕
㹭	〔犭电⼃・VKPq〕
㹮	〔犭丆日・VGKq〕
㹯	〔犭亻木・VTIq〕
㹰	〔犭⺌兀・VNGq〕
㹱	〔犭口龰・VOLq〕
㹲	〔犭耂子・VJBq〕
㹳	〔犭一{五下}口・VGOq〕
㹴	〔犭一日乂・VGTq〕
㹵	〔犭一巛工・VGIq〕
㹶	〔犭𡈼廴・VRBq〕
㹷	〔㐅𠂇巾犬・THJi〕
㹸	〔犭白儿・VUVq〕
㹹	〔犭广⺕人・VWUq〕
㹺	〔犭水日・VAKq〕
㹻	〔犭禾女・VRCq〕
㹼	〔犭勹米・VSXq〕
㹽	〔犭戈戈・VFFq〕
㹾	〔犭夂卜口・VVOq〕
㹿	〔犭⺊早・VLKq〕
㺀	〔犭⼓{两撇}心・VSRq〕
㺁	〔犭巛{囟框}㐅・VCTq〕
㺂	〔犭戊一口・VFOq〕
㺃	〔犭艹勹口・VHOq〕
㺄	〔犭人一⺝刂・VULq〕
㺅	〔犭⺈厂矢・VQPq〕
㺆	〔犭讠大贝・VZMq〕
㺇	〔犭匚丨口丨犬・VFJq〕
㺈	〔犭屮一虫・VALq〕
㺊	〔犭䒑土心・VXRq〕
㺋	〔犭八厶羽・VTCq〕
㺌	〔犭䒑⺕〢八・VXTq〕
㺍	〔犭宀亻工八・VWTq〕
㺎	〔犭广彐月⼁・VWKq〕
㺏	〔犭口十口女・VOCq〕
㺐	〔犭巛日木・VCIq〕
㺑	〔犭厶厶厶𠆢彡・VASq〕
㺒	〔犭羽𠆢彡・VCSq〕
㺓	〔犭龶貝・VENq〕
㺔	〔犭爫{爲下}・VVSq〕
㺕	〔犭㇒米田・VPKq〕
㺖	〔犭乛耳攵・VBPq〕
㺗	〔犭口口日十・VOEq〕
㺘	〔犭隹灬・VTXq〕
㺙	〔犭宀母贝・VWMq〕
㺚	〔犭土羊辶・VJZq〕
㺛	〔犭馬廾・VEHq〕
㺜	〔犭冂龷辰・VMGq〕
㺝	〔犭臣{⺮右}皿・VFMq〕
㺞	〔犭𦥑丂丄八・VUTq〕
㺟	〔犭羽隹・VCTq〕
㺠	〔犭穴瓜瓜・VWRq〕
㺡	〔犭厂禾禾止・VGLq〕
㺢	〔犭雨隹・VJTq〕
㺣	〔犭虍一口䒑戈・VLFq〕
㺤	〔犭人人戈非一・VUGq〕
㺥	〔犭⺈口比⺈口儿丶・VQWq〕
㺦	〔犭耳幺幺丱・VHAq〕
㺧	〔犭㗊頁・VOGq〕
㺨	〔𤣩厶・EAi〕
㺩	〔𤣩丩・EAu〕
㺪	〔𤣩卜・ELb〕
㺫	〔𤣩刂・ELd〕
㺬	〔𤣩凡・EQa〕
㺭	〔𤣩子・EBz〕
㺮	〔𤣩一丂・EGEk〕
㺯	〔王大・EFd〕
㺰	〔𤣩一巾・EGMj〕
㺱	〔亻乃王丶・TAEW〕
㺲	〔𤣩コ十・EDEu〕
㺳	〔𤣩攴・ELp〕
㺴	〔𤣩犬・EJq〕
㺵	〔𤣩欠・EQq〕
㺶	〔𤣩⺀十・EZEu〕
㺷	〔𤣩木丶・EIWu〕
㺸	〔亻凡王丶・TQEW〕
㺹	〔𤣩厶廾・EAHv〕
㺺	〔𤣩目・ENv〕
㺻	〔𤣩一巾・EGMj〕
㺼	〔𤣩乛龰・EBLu〕
㺽	〔𤣩不一・EGGu〕
㺾	〔𤣩冂口・EMOv〕
㺿	〔𤣩匚丨口丨・EFOK〕
㻀	〔𤣩日乂・EKTi〕
㻁	〔𤣩囗口・ENOv〕
㻂	〔𤣩䒑廾・EXHv〕
㻃	〔冂龷王丶・MHEW〕
㻄	〔𤣩㇒一龰・EPGL〕
㻅	〔𤣩人二厶・EUEA〕
㻆	〔𤣩厶⺝・EASv〕
㻇	〔𤣩𠆢王・EUEv〕
㻈	〔𤣩𠂆一口・ERGO〕
㻉	〔𤣩止𣥂・ELNu〕
㻊	〔𤣩⺈口儿・EQOV〕
㻋	〔𤣩木口・EIOv〕
㻌	〔𤣩𠆢一朩・EUGI〕
㻍	〔𤣩口一大・EOGF〕
㻎	〔大𤣩王・FEEd〕
㻏	〔𤣩彐火・EBXv〕
㻐	〔𤣩厶八夊・EATV〕
㻑	〔𤣩禾子・ERBz〕
㻒	〔𤣩囗禾・ENRv〕
㻓	〔𤣩耳又・EHDo〕
㻔	〔𤣩壬龷・ERHu〕
㻕	〔𤣩尸屮凵・EDAA〕
㻖	〔𤣩⺕氺・EBAs〕
㻗	〔非王丶・LEWf〕
㻘	〔𤣩宀申・EWKs〕
㻙	〔𤣩亠厶⺝・EYAS〕
㻚	〔𤣩月月・ESSv〕
㻛	〔𤣩日⼓{两撇}・EKSS〕
㻜	〔𤣩人人龰・EUUL〕
㻝	〔𤣩木口刂・EIOL〕
㻞	〔𤣩户𠕁・EZMu〕
㻟	〔𤣩𠂇工⺝・EHIS〕
㻠	〔𤣩穴犬・EWJq〕
㻡	〔𤣩世木・EHIv〕
㻢	〔𤣩方𠂉也・EYPB〕
㻣	〔𤣩其𠃊・EHCu〕
㻤	〔𤣩艹勹口・EHSO〕
㻥	〔𤣩丷酉・EXEy〕
㻦	〔𤣩禺・EKo〕
㻧	〔𤣩夕㐄木・EQFI〕
㻨	〔臣又丶丶王丶・FDWe〕
㻩	〔𤣩䒑⺕〢八・EXLT〕
㻪	〔𤣩隹乃・ETAn〕
㻫	〔𤣩日龷十・EKHE〕
㻬	〔𤣩雨一丂・EJGE〕
㻭	〔𤣩亠幺冫{飞右}十・EYTE〕
㻮	〔𤣩{祭上}示・ESFs〕
㻯	〔𤣩虍⼃丷{于下}・ELXI〕
㻰	〔𤣩丰丰彐・EIIB〕
㻱	〔𤣩夂丰辶・EVIZ〕
㻲	〔𤣩口十口女・EOOC〕
㻳	〔𤣩艹禾刂・EHRL〕
㻴	〔𤣩日罒又・EKMD〕
㻵	〔𤣩尸子子子・EDBB〕
㻶	〔𤣩𥫗⺕キ・EPBF〕
㻷	〔𤣩木冂木冂・EIIM〕
㻸	〔𤣩匚儿匚儿日・EFVK〕
㻹	〔石豕王丶・GGEW〕
㻺	〔厂禾禾王丶・GRWc〕
㻻	〔𤣩亠口子攵・EYBP〕
㻼	〔𤣩覀早・EEKz〕
㻽	〔𤣩隹{雋下}・ETMu〕
㻾	〔亠{纟上}⼃隹王丶・YCEW〕
㻿	〔𤣩罒勹虫・EMSL〕
㼀	〔𤣩土羊辶・EJXZ〕
㼁	〔𤣩䒑土㇒扌戈・EXFF〕
㼂	〔𦥑丂⼁冖王丶・UEEW〕
㼃	〔𤣩巛囗㐅𠄌{四点}𠄌㇂・ECCC〕
㼄	〔𤣩幺幺戈田・EAFK〕
㼅	〔𤣩广龷由八・EWKT〕
㼆	〔𤣩火火冖王丶・EXEW〕
㼇	〔𤣩山隹{雋下}・EMTM〕
㼈	〔𤣩罒糹隹・EMAT〕
㼉	〔瓜冖儿・RQVg〕
㼊	〔七凵瓜・FARq〕
㼋	〔古瓜・JRgg〕
㼌	〔瓜瓜・RRgg〕
㼍	〔一未瓜・GIRg〕
㼎	〔瓜亠八乂・RYTg〕
㼏	〔爫女瓜・VCRg〕
㼐	〔户𠕁瓜・ZMRh〕
㼑	〔木囗丷瓜・INXR〕
㼒	〔瓜日一⼓{两撇}・RKSg〕
㼓	〔瓜䒑⺕〢八・RXTg〕
㼔	〔日皿瓜・KMRg〕
㼕	〔⺌冖口田瓜・NQKR〕
㼖	〔瓜{互中}豕虫虫・RCLg〕
㼗	〔丁瓦・EHwd〕
㼘	〔山瓦・MHw〕
㼙	〔巾瓦・MHwj〕
㼚	〔亠几瓦・YQHw〕
㼛	〔一廾瓦・GHHw〕
㼜	〔冂大瓦・MFHw〕
㼝	〔夕㔾瓦・QBHx〕
㼞	〔干丷瓦・EXHg〕
㼟	〔白瓦・UHwb〕
㼠	〔宀匕瓦・WVHw〕
㼡	〔㇒未瓦・PIHw〕
㼢	〔匚丨口丨瓦・FKHf〕
㼣	〔丆日瓦・GKHw〕
㼤	〔丰刀瓦・IDHf〕
㼥	〔耂丂瓦・JEHw〕
㼦	〔工凡瓦・IQHg〕
㼧	〔龴用瓦・DSHw〕
㼨	〔𠆢丶乛口瓦・UWOH〕
㼩	〔戊𠃌瓦・FBHw〕
㼪	〔大人人瓦・FUHd〕
㼫	〔日木瓦・KIHw〕
㼬	〔土䒑十瓦・JXEH〕
㼭	〔土⺊口瓦・JLOH〕
㼮	〔十彐女瓦・EBCH〕
㼯	〔木日瓦・IKHw〕
㼰	〔白千瓦・URHb〕
㼱	〔丬匕冖八瓦・XVTH〕
㼲	〔而大瓦・GFHe〕
㼳	〔𡭔㇒目瓦・CPHx〕
㼴	〔禺瓦・KHwo〕
㼵	〔日一龰瓦・KGLH〕
㼶	〔人一⺝刂瓦・UGLH〕
㼷	〔山而瓦・MGHw〕
㼸	〔穴𠆢口瓦・WUHx〕
㼹	〔艹亠𠃊𫶧瓦・HYVH〕
㼺	〔广コ古瓦・WDHg〕
㼻	〔彳人人龰瓦・SUHr〕
㼼	〔覀示瓦・EFHx〕
㼽	〔大㐅乂㐅乂瓦・FTHd〕
㼾	〔鹿瓦・WHwl〕
㼿	〔音土瓦・YJHn〕
㽀	〔丷酉大瓦・XEFH〕
㽁	〔厂禾禾瓦・GRHc〕
㽂	〔人一口羽瓦・UGCH〕
㽃	〔㇒米田瓦・PXKH〕
㽄	〔其𠂆丅瓦・HRHq〕
㽅	〔癶一口䒑瓦・DGXH〕
㽆	〔⺌冖口田瓦・NQKH〕
㽇	〔𦥑㐅乂冖瓦・UTQH〕
㽈	〔匕矢龴乛龰瓦・VPHi〕
㽉	〔臣𠂉丶罒瓦・FPHe〕
㽊	〔言火火又瓦・YXDH〕
㽋	〔言糹糸瓦・YAAH〕
㽌	〔雨{卬左}⼂刀田瓦・JVHy〕
㽍	〔卄二瓦・HEHw〕
㽎	〔其𠃊冖儿・HCVq〕
㽏	〔氵人一口卄二・ZUHE〕
㽐	〔卄二䒑⺕〢八・HELT〕
㽑	〔卄二覀早・HEEK〕
㽒	〔田力生・KCPt〕
㽓	〔生生生・PPPs〕
㽔	〔〢䒑𧰨生・LXRP〕
㽕	〔由𠃌㇉・KBCy〕
㽖	〔田力・KClt〕
㽗	〔田人・KUut〕
㽘	〔田亠几・KYQt〕
㽙	〔田厶儿・KAVt〕
㽚	〔田牛・KPnt〕
㽛	〔田勹口・KSOt〕
㽜	〔夕㔾田・QBKx〕
㽝	〔歹刂田・GLKd〕
㽞	〔口口田・OOKt〕
㽟	〔田爫寸・KVIt〕
㽠	〔田大人人・KFUt〕
㽡	〔田白千・KURt〕
㽢	〔田大电・KFKt〕
㽣	〔田戈口一・KFGt〕
㽤	〔田勹米・KSXt〕
㽥	〔田矛木・KBIt〕
㽦	〔火火冖田・XXQK〕
㽧	〔田䒑幺幺・KXAt〕
㽨	〔田⺶工・KXIt〕
㽩	〔田厶厶厶𠆢彡・KASt〕
㽪	〔田丷𫩏丷日・KXKt〕
㽫	〔亠{纟上}⼃隹田・YCTK〕
㽬	〔一口田一口田・GOOK〕
㽭	〔田雨而・KJGt〕
㽮	〔田田田生・KKPt〕
㽯	〔田山隹冂八口・KMOt〕
㽰	〔月月乛龰・SSBL〕
㽱	〔疒丩・WAub〕
㽲	〔疒丂・WEkb〕
㽳	〔疒一{于下}・WGIb〕
㽴	〔疒𠂇乀・WHWb〕
㽵	〔疒土・WJvb〕
