一	〔一・Gu〕
余	〔𠆢一朩・UGIu〕
佚	〔亻㇒夫・TPJf〕
佛	〔亻弓{介下}・TDTu〕
作	〔亻𠂉{乍下}・TPLu〕
佝	〔亻勹口・TSOv〕
佞	〔亻二女・TECv〕
佟	〔亻夂⺀・TVZu〕
你	〔亻⺈小・TQCx〕
佣	〔亻用・TSy〕
佤	〔亻瓦・THw〕
佥	〔人二⺍・UEZu〕
佧	〔亻上卜・TLLb〕
佩	〔亻𠘨一巾・TQGM〕
佬	〔亻耂匕・TJVi〕
佯	〔亻羊・TXy〕
佰	〔亻丆日・TGKv〕
佳	〔亻土土・TJJv〕
佴	〔亻耳・THe〕
佶	〔亻士口・TJOv〕
佻	〔亻儿冫{飞右}・TVXT〕
佼	〔亻亠八乂・TYTT〕
佾	〔亻八⺝・TTSv〕
使	〔亻一口乂・TGOT〕
侃	〔亻口𫶧・TOVu〕
侄	〔亻至・TFz〕
侈	〔亻夕夕・TQQx〕
侉	〔亻大一丂・TFGE〕
例	〔亻歹刂・TGLd〕
侍	〔亻土寸・TJIc〕
侏	〔亻㇒未・TPIw〕
侑	〔亻𠂇⺝・THSv〕
侔	〔亻厶牛・TAPn〕
侗	〔亻冂一口・TMGO〕
供	〔亻龷八・THTu〕
依	〔亻衣・TWy〕
侠	〔亻夫丷・TJXu〕
侣	〔亻口口・TOOv〕
侥	〔亻七㇒兀・TFPG〕
侦	〔亻⺊贝・TLMb〕
侧	〔亻贝刂・TMLd〕
侨	〔亻夭{介下}・TRTu〕
侩	〔亻人二厶・TUEA〕
侪	〔亻文{介下}・TYTu〕
侬	〔亻冖𧘇・TQRu〕
侮	〔亻𠂉母・TPCm〕
侯	〔亻コ矢・TDPi〕
侵	〔亻⺕冖又・TBQD〕
便	〔亻一日乂・TGKT〕
促	〔亻口龰・TOLu〕
俄	〔亻㇒扌戈・TPFF〕
俅	〔亻一氺丶・TGAW〕
俊	〔亻厶八夊・TATV〕
俎	〔人人且・UUNq〕
俏	〔亻⺌⺝・TNSv〕
俐	〔亻禾刂・TRLd〕
俑	〔亻龴用・TDSy〕
俗	〔亻八𠆢口・TTUO〕
俘	〔亻爫子・TVBz〕
俚	〔亻甲二・TKEe〕
俜	〔亻由丂・TKEk〕
保	〔亻口木・TOIv〕
俞	〔人一⺝刂・UGSL〕
俟	〔亻厶矢・TAPi〕
信	〔亻言・TYv〕
俣	〔亻口一大・TOGF〕
俦	〔亻丰寸・TIIc〕
俨	〔亻丌䒑⼃・THXP〕
俩	〔亻一冂人人・TGUU〕
俪	〔亻一冂⺀冂・TGZM〕
俭	〔亻人二⺍・TUEZ〕
修	〔亻丨夂彡・TKVS〕
俯	〔亻广亻寸・TWTI〕
俱	〔亻{具上}八・TNTu〕
俳	〔亻非・TLf〕
俸	〔亻一夫キ・TGJF〕
俺	〔亻大电・TFKd〕
俾	〔亻白千・TURq〕
倌	〔亻宀尸コ・TWDD〕
倍	〔亻立口・TYOv〕
倏	〔亻丨夂犬・TKVJ〕
倒	〔亻至刂・TFLd〕
倔	〔亻尸屮凵・TDAA〕
倘	〔亻⺌冂口・TNMO〕
候	〔亻丨コ矢・TKDP〕
倚	〔亻大丁口・TFEO〕
倜	〔亻⺆土口・TSJO〕
借	〔亻龷日・THKv〕
倡	〔亻日曰・TKKu〕
倥	〔亻穴工・TWIg〕
倦	〔亻丷夫㔾・TXJB〕
倨	〔亻尸古・TDJg〕
倩	〔亻龶⺝・TESv〕
倪	〔亻臼儿・TUVe〕
倬	〔亻⺊早・TLKz〕
倭	〔亻禾女・TRCv〕
倮	〔亻日木・TKIv〕
债	〔亻龶贝・TEMb〕
值	〔亻十{具上}・TENq〕
倾	〔亻匕丆贝・TVGM〕
偃	〔亻匚日女・TFKC〕
假	〔亻尸二コ又・TDDD〕
偈	〔亻日勹人𠃊・TKUC〕
偌	〔亻艹𠂇口・THHO〕
偎	〔亻田{畏下}・TKFu〕
偏	〔亻户𠕁・TZMu〕
偕	〔亻比白・TVUb〕
做	〔亻古攵・TJPp〕
停	〔亻亠口冖丁・TYQE〕
健	〔亻⺕キ廴・TBFB〕
偬	〔亻⼓{两撇}丶心・TSWR〕
偶	〔亻禺・TKo〕
偷	〔亻人一⺝刂・TUSL〕
偻	〔亻米女・TXCv〕
偾	〔亻十廾贝・TEHM〕
偿	〔亻⺌冖二厶・TNEA〕
傀	〔亻鬼・TUg〕
傅	〔亻甫寸・TEIc〕
傈	〔亻覀木・TEIv〕
傍	〔亻亠丷冖方・TYQY〕
傣	〔亻一夫氺・TGJA〕
傥	〔亻⺌冖口儿・TNOV〕
傧	〔亻宀亻工八・TWIT〕
储	〔亻讠耂日・TZJK〕
傩	〔亻又隹・TDTw〕
催	〔亻山隹・TMTw〕
傲	〔亻龶𠂊攵・TEQP〕
傺	〔亻{祭上}示・TSFs〕
傻	〔亻{囟框}㐅八夊・TUTV〕
像	〔亻⺈口𧰨・TQOR〕
僖	〔亻士口䒑口・TJXO〕
僚	〔亻大丷日小・TFKC〕
僦	〔亻亠口小尤・TYCJ〕
僧	〔亻丷𫩏丷日・TXXK〕
僬	〔亻隹灬・TTXh〕
僭	〔亻匚儿匚儿日・TFVK〕
僮	〔亻音土・TYJv〕
僳	〔亻覀米・TEXm〕
僵	〔亻三田田・TIKK〕
僻	〔亻尸口辛・TDOY〕
儆	〔亻艹勹口攵・THOP〕
儇	〔亻罒一口𧘇・TMOR〕
儋	〔亻⺈厂八言・TQTY〕
儒	〔亻雨而・TJGe〕
儡	〔亻田田田・TKKK〕
儿	〔儿・Ve〕
兀	〔兀・Gw〕
允	〔厶儿・AVei〕
元	〔一兀・GGw〕
兄	〔口儿・OVe〕
充	〔亠厶儿・YAVe〕
兆	〔儿冫{飞右}・VXTe〕
先	〔𠂒儿・PVe〕
光	〔⺌兀・NGw〕
克	〔古儿・JVeg〕
免	〔⺈口儿・QOVe〕
兑	〔丷口儿・XOVe〕
兔	〔⺈口儿丶・QOVW〕
兕	〔{雋下}兀・MGw〕
兖	〔亠八厶儿・YTAV〕
党	〔⺌冖口儿・NQOV〕
兜	〔白{卬左}コ儿・UVVb〕
兢	〔古儿古儿・JVVg〕
入	〔入・Vr〕
全	〔𠆢王・UEv〕
八	〔八・Tu〕
公	〔八厶・TAi〕
六	〔亠八・YTu〕
兮	〔八丂・TEk〕
兰	〔䒑二・XEe〕
共	〔龷八・HTu〕
关	〔䒑大・XFd〕
兴	〔⺍一八・ZGTu〕
兵	〔亻工八・TITu〕
其	〔其・Hq〕
具	〔{具上}八・NTuq〕
典	〔冂龷八・MHTu〕
兹	〔䒑幺幺・XAAy〕
养	〔䒑夫{介下}・XJTu〕
兼	〔䒑⺕〢八・XBLT〕
兽	〔丷田一口・XKGO〕
冀	〔丬匕田龷八・XVHT〕
冁	〔丷日十尸艹{畏下}・XKHF〕
冂	〔冂・Mu〕
内	〔冂人・MUu〕
冈	〔冂㐅・MTi〕
冉	〔冂土・MJv〕
册	〔⺆⺆一・SSGu〕
再	〔王冂・EMu〕
冒	〔曰目・KNv〕
冕	〔曰⺈口儿・KQOV〕
冖	〔冖・Qu〕
冗	〔冖几・QQj〕
写	〔冖丂一・QEGu〕
军	〔冖车・QFc〕
农	〔冖𧘇・QRu〕
冠	〔冖一兀寸・QGGI〕
冢	〔冖豕丶・QGWu〕
冤	〔冖⺈口儿丶・QQVW〕
冥	〔冖日亠八・QKYT〕
冫	〔冫・Xs〕
冬	〔夂⺀・VZu〕
冯	〔冫马・XAms〕
冰	〔冫水・XAss〕
冱	〔冫二{互中}・XECs〕
冲	〔冫口丨・XOKs〕
决	〔冫𠃍大・XBFs〕
况	〔冫口儿・XOVs〕
冶	〔冫厶口・XAOs〕
冷	〔冫𠆢丶龴・XUDs〕
冻	〔冫七小・XFCs〕
冼	〔冫𠂒儿・XPVs〕
冽	〔冫歹刂・XGLs〕
净	〔冫⺈⺕亅・XQBs〕
凄	〔冫十彐女・XECs〕
准	〔冫隹・XTws〕
凇	〔冫木八厶・XIAs〕
凉	〔冫亠口小・XYCs〕
凋	〔冫⺆土口・XSOs〕
凌	〔冫土八夊・XJVs〕
减	〔冫戊一口・XFOs〕
凑	〔冫一夫一大・XGFs〕
凛	〔冫亠囗口示・XYFs〕
凝	〔冫匕矢龴乛龰・XVLs〕
几	〔几・Qj〕
凡	〔凡・Qa〕
凤	〔𠘨又・QDoj〕
凫	〔{鸟上}几・SQjn〕
凭	〔亻壬几・TRQj〕
凯	〔山己几・MDQj〕
凰	〔𠘨白王・QUEj〕
凳	〔癶一口䒑几・DGXQ〕
凵	〔凵・Au〕
凶	〔㐅凵・TAui〕
凸	〔⼁一⼁𠃍𠃍一・KGBG〕
凹	〔{雋下}一・MGu〕
出	〔屮凵・AAu〕
击	〔キ凵・FAu〕
凼	〔水凵・AAus〕
函	〔乛水凵・BAAu〕
凿	〔〢䒑䒑十凵・LXEA〕
刀	〔刀・Dd〕
刁	〔𠃌㇀・BGu〕
刂	〔刂・Ld〕
刃	〔刀丶・DWud〕
分	〔八刀・TDd〕
切	〔七刀・FDdq〕
刈	〔㐅刂・TLdi〕
刊	〔干刂・ELdg〕
刍	〔⺈彐・QBu〕
刎	〔⼓{两撇}刂・SSLd〕
刑	〔一廾刂・GHLd〕
划	〔戈刂・FLdg〕
刖	〔月刂・SLd〕
列	〔歹刂・GLdd〕
刘	〔文刂・YLdw〕
则	〔贝刂・MLdb〕
刚	〔冂㐅刂・MTLd〕
创	〔𠆢㔾刂・UBLd〕
初	〔衤刀・WDdi〕
删	〔⺆⺆一刂・SSGL〕
判	〔丷キ刂・XFLd〕
刨	〔勹巳刂・SDLd〕
利	〔禾刂・RLd〕
别	〔口力刂・OCLd〕
刭	〔ス工刂・DILd〕
刮	〔千口刂・ROLq〕
到	〔至刂・FLdz〕
刳	〔大一丂刂・FGLd〕
制	〔牛冂刂・PMLn〕
刷	〔尸巾刂・DMLd〕
券	〔丷夫刀・XJDd〕
刹	〔㐅朩刂・TILi〕
刺	〔木冂刂・IMLd〕
刻	〔亥刂・YLdh〕
刽	〔人二厶刂・UEAL〕
刿	〔山夕刂・MQLd〕
剀	〔山己刂・MDLd〕
剁	〔𠘧木刂・QILj〕
剂	〔文{介下}刂・YTLw〕
剃	〔丷弓丨㇒刂・XDPL〕
削	〔⺌⺝刂・NSLd〕
剌	〔木口刂・IOLd〕
前	〔䒑⺝刂・XSLd〕
剐	〔口冂人刂・OMUL〕
剑	〔人二⺍刂・UEZL〕
剔	〔日⼓{两撇}刂・KSSL〕
剖	〔立口刂・YOLl〕
剜	〔宀夕㔾刂・WQBL〕
剞	〔大丁口刂・FELd〕
剡	〔火火刂・XXLd〕
剥	〔⼹氺刂・BALd〕
剧	〔尸古刂・DJLd〕
剩	〔禾丬匕刂・RXVL〕
剪	〔䒑⺝刂刀・XSLD〕
副	〔一口田刂・GOKL〕
割	〔宀丰口刂・WIOL〕
剽	〔覀示刂・EFLx〕
剿	〔巛日木刂・CKLc〕
劁	〔隹灬刂・TXLw〕
劂	〔厂䒑䶹欠刂・GXLc〕
劈	〔尸口辛刀・DOYD〕
劐	〔艹隹又刂・HTDL〕
劓	〔鼻刂・TLdb〕
力	〔力・Cl〕
劝	〔又力・DClo〕
办	〔力八・CTul〕
功	〔工力・IClg〕
加	〔力口・COvl〕
务	〔夂力・VCl〕
劢	〔丆𠃌力・GBCl〕
劣	〔𡭔㇒力・CPCx〕
动	〔二厶力・EACe〕
助	〔且力・NClq〕
努	〔女又力・CDCl〕
劫	〔土厶力・JACl〕
劬	〔勹口力・SOCl〕
劭	〔刀口力・DOCd〕
励	〔厂丆𠃌力・GGCc〕
劲	〔ス工力・DICl〕
劳	〔艹冖力・HQCl〕
劾	〔亥力・YClh〕
势	〔扌九丶力・FRWC〕
勃	〔十冖子力・EQBC〕
勇	〔龴用力・DSCl〕
勉	〔⺈口儿力・QOVC〕
勋	〔口贝力・OMCl〕
勐	〔子皿力・BMCz〕
勒	〔革力・HClg〕
勖	〔曰目力・KNCl〕
勘	〔其𠃊力・HCCq〕
募	〔艹日大力・HKFC〕
勤	〔革二力・HECg〕
勰	〔力力力田心・CCRl〕
勹	〔勹・Su〕
勺	〔勹丶・SWu〕
勾	〔勹厶・SAi〕
勿	〔⼓{两撇}・SSu〕
匀	〔勹冫・SXs〕
包	〔勹巳・SDs〕
匆	〔⼓{两撇}丶・SSWu〕
匈	〔勹㐅凵・STAu〕
匍	〔勹甫・SEf〕
匏	〔大一丂勹巳・FGDd〕
匐	〔勹一口田・SGOK〕
匕	〔匕・Vi〕
化	〔亻𠤎・TVi〕
北	〔丬匕・XVi〕
匙	〔日一龰匕・KGLV〕
匚	〔匚・Ff〕
匝	〔匚巾・FMjf〕
匠	〔匚𠂆丅・FRJf〕
匡	〔匚王・FEvf〕
匣	〔匚甲・FKjf〕
匦	〔匚车九・FFRf〕
匪	〔匚非・FLff〕
匮	〔匚口丄贝・FOMf〕
匹	〔兀𠃊・GCuw〕
区	〔匚㐅・FTif〕
医	〔匚矢・FPif〕
匾	〔匚户𠕁・FZMf〕
匿	〔匚艹𠂇口・FHOf〕
十	〔十・Eu〕
千	〔千・Rq〕
卅	〔卅・Hv〕
升	〔㇒廾・PHv〕
午	〔𠂉十・PEu〕
卉	〔十廾・EHv〕
半	〔丷キ・XFu〕
华	〔亻𠤎十・TVEu〕
协	〔十力八・ECTu〕
卑	〔白千・URqb〕
卒	〔亠人人十・YUUE〕
卓	〔⺊早・LKz〕
单	〔丷日十・XKEu〕
卖	〔十乛⺀大・EBZF〕
南	〔十冂䒑十・EMXE〕
博	〔十甫寸・EEIc〕
卜	〔卜・Lb〕
卞	〔亠卜・YLb〕
卟	〔口卜・OLb〕
占	〔⺊口・LOv〕
卡	〔上卜・LLbs〕
卢	〔⺊尸・LDv〕
卣	〔⺊囗コ・LNDu〕
卤	〔⺊囗㐅・LNTi〕
卦	〔土土卜・JJLb〕
卧	〔臣卜・FLbe〕
卩	〔卩・Ae〕
卫	〔𰆊一・AGue〕
卮	〔𠂆一㔾・RGBu〕
卯	〔{卬左}丿卩・VPAe〕
印	〔{卬左}一卩・VGAe〕
危	〔⺈厂㔾・QGBu〕
即	〔⺕厶卩・BAAe〕
却	〔土厶卩・JAAe〕
卵	〔{卬左}ソ卩⼂・VXAW〕
卷	〔丷夫㔾・XJBu〕
卸	〔𠂉一止卩・PGLA〕
卺	〔乛水一㔾・BAGB〕
卿	〔{卬左}丿⺕厶卩・VPAA〕
厂	〔厂・Gc〕
厄	〔厂㔾・GBuc〕
厅	〔厂丁・GEdc〕
历	〔厂力・GClc〕
厉	〔厂丆𠃌・GGBc〕
压	〔厂土丶・GJWc〕
厌	〔厂犬・GJqc〕
厍	〔厂车・GFcc〕
厕	〔厂贝刂・GMLc〕
厘	〔厂甲二・GKEc〕
厚	〔厂日子・GKBc〕
厝	〔厂龷日・GHKc〕
原	〔厂白小・GUCc〕
厢	〔厂木目・GINc〕
厣	〔厂犬甲・GJKc〕
厥	〔厂䒑䶹欠・GXQc〕
厦	〔厂丆目夊・GGVc〕
厨	〔厂一口䒑寸・GGIc〕
厩	〔厂⺕厶匚儿・GBVc〕
厮	〔厂其𠂆丅・GHJc〕
厶	〔厶・Ai〕
去	〔土厶・JAi〕
县	〔且厶・NAiq〕
叁	〔厶大三・AFIi〕
参	〔厶大彡・AFSi〕
又	〔又・Do〕
叉	〔又丶・DWuo〕
及	〔乃⼂・AWun〕
友	〔𠂇又・HDo〕
双	〔又又・DDoo〕
反	〔𠂆又・RDo〕
发	〔𠃋⼢⼂・CVWu〕
叔	〔上小又・LCDs〕
取	〔耳又・HDoe〕
受	〔爫冖又・VQDo〕
变	〔𰁜又・YDoi〕
叙	〔𠆢一朩又・UGID〕
叛	〔丷キ𠂆又・XFRD〕
叟	〔臼丨又・UKDj〕
叠	〔又又又冖且・DDNo〕
口	〔口・Ov〕
古	〔古・Jg〕
句	〔勹口・SOv〕
另	〔口力・OCl〕
叨	〔口刀・ODd〕
叩	〔口卩・OAe〕
只	〔口八・OTu〕
叫	〔口丩・OAu〕
召	〔刀口・DOvd〕
叭	〔口八・OTu〕
叮	〔口丁・OEd〕
可	〔丁口・EOvd〕
台	〔厶口・AOvi〕
